experiment,percentDEInCat,set_size,term,ontology,genes
enriched_vs_control,2.298850575,174,anatomical structure development,BP,gene_g265; gene_g407; gene_g624; gene_g829; gene_g1116; gene_g1956; gene_g2218; gene_g2365; gene_g2476; gene_g2504; gene_g2542; gene_g2767; gene_g3014; gene_g3261; gene_g3305; gene_g3354; gene_g3393; gene_g3394; gene_g4201; gene_g4259; gene_g4260; gene_g4509; gene_g4510; gene_g4607; gene_g4843; gene_g5162; gene_g5249; gene_g5439; gene_g5450; gene_g5480; gene_g5523; gene_g5697; gene_g6112; gene_g6242; gene_g6244; gene_g6545; gene_g6639; gene_g6951; gene_g6958; gene_g6961; gene_g7192; gene_g7279; gene_g7339; gene_g7395; gene_g7396; gene_g7679; gene_g7680; gene_g7903; gene_g8242; gene_g8244; gene_g8297; gene_g8401; gene_g8564; gene_g8657; gene_g8838; gene_g8883; gene_g8884; gene_g9182; gene_g9233; gene_g9285; gene_g9286; gene_g9287; gene_g9289; gene_g9355; gene_g9492; gene_g10018; gene_g10137; gene_g10270; gene_g10375; gene_g10494; gene_g10618; gene_g10676; gene_g10680; gene_g10701; gene_g10770; gene_g10844; gene_g11115; gene_g11279; gene_g11317; gene_g11323; gene_g11324; gene_g11325; gene_g11326; gene_g11327; gene_g11328; gene_g11358; gene_g11389; gene_g11703; gene_g11781; gene_g12031; gene_g12105; gene_g12106; gene_g12286; gene_g12375; gene_g12516; gene_g12605; gene_g12656; gene_g12752; gene_g12798; gene_g12889; gene_g13198; gene_g13309; gene_g13325; gene_g13525; gene_g13528; gene_g13690; gene_g13702; gene_g14149; gene_g14235; gene_g14676; gene_g14677; gene_g14785; gene_g14850; gene_g14869; gene_g14870; gene_g14872; gene_g15050; gene_g15107; gene_g15152; gene_g16086; gene_g16488; gene_g16790; gene_g16858; gene_g17129; gene_g17318; gene_g17540; gene_g17591; gene_g17663; gene_g17713; gene_g17905; gene_g18166; gene_g18271; gene_g18416; gene_g18592; gene_g18680; gene_g18681; gene_g18682; gene_g18802; gene_g18842; gene_g19109; gene_g19185; gene_g19292; gene_g19568; gene_g19789; gene_g19836; gene_g19905; gene_g19955; gene_g20008; gene_g20114; gene_g20203; gene_g20618; gene_g20693; gene_g20922; gene_g20980; gene_g20984; gene_g21329; gene_g22890; gene_g23189; gene_g23191; gene_g23320; gene_g23321; gene_g23518; gene_g23913; gene_g24699; gene_g25450; gene_g26093; gene_g26096; gene_g26212; gene_g26231; gene_g26358; gene_g26528; gene_g26601; gene_g26805; gene_g26829; gene_split_gene_gene_gene_g2081-g2081
enriched_vs_control,4.255319149,47,anatomical structure development,BP,gene_g4510; gene_g4607; gene_g6242; gene_g6244; gene_g6951; gene_g9285; gene_g9289; gene_g10676; gene_g10701; gene_g10844; gene_g11317; gene_g11358; gene_g11389; gene_g11703; gene_g12031; gene_g12105; gene_g12106; gene_g12752; gene_g12798; gene_g12889; gene_g13702; gene_g14149; gene_g14870; gene_g15107; gene_g16858; gene_g17591; gene_g17663; gene_g17905; gene_g18271; gene_g18592; gene_g18680; gene_g18682; gene_g19109; gene_g19185; gene_g19568; gene_g19789; gene_g19836; gene_g19905; gene_g19955; gene_g20984; gene_g21329; gene_g23191; gene_g23518; gene_g23913; gene_g26093; gene_g26601; gene_g26805
enriched_vs_control,25,4,anatomical structure development,BP,gene_g3046; gene_g4852; gene_g9828; gene_g14022
enriched_vs_control,3,100,anatomical structure development,BP,gene_g764; gene_g1123; gene_g1539; gene_g1777; gene_g2365; gene_g2687; gene_g2801; gene_g3305; gene_g3642; gene_g4259; gene_g4260; gene_g4510; gene_g4607; gene_g4907; gene_g5118; gene_g5416; gene_g6242; gene_g6244; gene_g6515; gene_g6951; gene_g6958; gene_g7192; gene_g7585; gene_g8297; gene_g8401; gene_g8541; gene_g8771; gene_g8883; gene_g9233; gene_g9285; gene_g9286; gene_g9287; gene_g9289; gene_g9492; gene_g9807; gene_g10018; gene_g10137; gene_g10362; gene_g10642; gene_g10676; gene_g10680; gene_g10701; gene_g10844; gene_g10956; gene_g11317; gene_g11358; gene_g11389; gene_g11703; gene_g12031; gene_g12105; gene_g12106; gene_g12286; gene_g12684; gene_g12752; gene_g12798; gene_g13198; gene_g13702; gene_g13749; gene_g14149; gene_g14422; gene_g14423; gene_g14844; gene_g14869; gene_g14870; gene_g14872; gene_g15107; gene_g15642; gene_g15643; gene_g16858; gene_g17540; gene_g17591; gene_g17663; gene_g17905; gene_g18070; gene_g18271; gene_g18592; gene_g18680; gene_g18681; gene_g18682; gene_g19109; gene_g19185; gene_g19568; gene_g19789; gene_g19836; gene_g19905; gene_g19955; gene_g20980; gene_g20984; gene_g21329; gene_g21567; gene_g22983; gene_g23189; gene_g23191; gene_g23518; gene_g23913; gene_g26093; gene_g26222; gene_g26528; gene_g26601; gene_g26805
enriched_vs_control,50,2,behavior,BP,gene_g2612; gene_g6958
enriched_vs_control,50,2,biological process involved in intraspecies interaction between organisms,BP,gene_g4448; gene_g4449
enriched_vs_control,9.523809524,21,carbohydrate derivative metabolic process,BP,gene_g160; gene_g3596; gene_g9191; gene_g11022; gene_g12679; gene_g13356; gene_g18572; gene_g19135; gene_g19578; gene_g20491; gene_g20683; gene_g20897; gene_g21614; gene_g22830; gene_g24513; gene_g24800; gene_g160; gene_g3742; gene_g9191; gene_g12679; gene_g13356; gene_g16999; gene_g19135; gene_g20491; gene_g20683; gene_g21326; gene_g21614; gene_g22830; gene_g24513; gene_g3742; gene_g9191; gene_g12679; gene_g19135; gene_g20491; gene_g20683; gene_g20897; gene_g21326; gene_g21614; gene_g22448; gene_g22830; gene_g8277; gene_g16999; gene_g21326; gene_g22448
enriched_vs_control,25,4,carbohydrate derivative metabolic process,BP,gene_g2688; gene_g5784; gene_g7968; gene_g22933
enriched_vs_control,20,5,carbohydrate metabolic process,BP,gene_g3130; gene_g5832; gene_g6207; gene_g17318; gene_g18498; gene_novel_gene_model_gene_370_gene_5de57afd
enriched_vs_control,33.33333333,3,carboxylic acid metabolic process,BP,gene_g11345; gene_g15397; gene_g15399
enriched_vs_control,3.703703704,81,cell adhesion,BP,gene_g6542; gene_g7285; gene_g9459; gene_g9832; gene_g9915; gene_g10388; gene_g11214; gene_g11843; gene_g12614; gene_g12752; gene_g13712; gene_g14987; gene_g17078; gene_g17199; gene_g17881; gene_g18302; gene_g18379; gene_g18721; gene_g19081; gene_g19291; gene_g19292; gene_g20703; gene_g23625; gene_g23684; gene_g23913; gene_g24564; gene_g25226; gene_g26024; gene_g26089; gene_g588; gene_g1972; gene_g2653; gene_g2900; gene_g3524; gene_g3871; gene_g5695; gene_g7251; gene_g8092; gene_g8360; gene_g8793; gene_g8796; gene_g9445; gene_g10093; gene_g10295; gene_g10296; gene_g10481; gene_g11025; gene_g11281; gene_g11288; gene_g11732; gene_g12366; gene_g13955; gene_g14543; gene_g14707; gene_g15808; gene_g16083; gene_g16154; gene_g16581; gene_g16585; gene_g17459; gene_g18027; gene_g18028; gene_g19081; gene_g20609; gene_g20673; gene_g20732; gene_g20778; gene_g21639; gene_g22882; gene_g22911; gene_g23670; gene_g25226; gene_g25718; gene_g25842; gene_g26325; gene_g1972; gene_g2900; gene_g3524; gene_g10296; gene_g14543; gene_g14707; gene_g15808; gene_g16581; gene_g16830; gene_g17459; gene_g18961; gene_g20588; gene_g23670; gene_g25718; gene_g9138; gene_g16029; gene_g17903; gene_g20673; gene_g21212; gene_g21466
enriched_vs_control,33.33333333,3,cell adhesion,BP,gene_g7673; gene_g9441; gene_g13743
enriched_vs_control,18.18181818,11,cell adhesion,BP,gene_g1453; gene_g4330; gene_g6119; gene_g9459; gene_g11843; gene_g13712; gene_g14776; gene_g14911; gene_g17881; gene_g18302; gene_g24564
enriched_vs_control,33.33333333,3,cell cycle process,BP,gene_g168; gene_g8079; gene_g13978
enriched_vs_control,25,4,cell differentiation,BP,gene_g5211; gene_g8191; gene_g18286; gene_g23055
enriched_vs_control,33.33333333,3,cell motility,BP,gene_g4016; gene_g16275; gene_g18165
enriched_vs_control,6.25,32,cell motility,BP,gene_g138; gene_g739; gene_g2108; gene_g3305; gene_g4259; gene_g4260; gene_g6958; gene_g7192; gene_g7385; gene_g7673; gene_g8296; gene_g8401; gene_g8543; gene_g8883; gene_g8884; gene_g9285; gene_g9289; gene_g9366; gene_g11703; gene_g11894; gene_g12286; gene_g13198; gene_g13732; gene_g15449; gene_g16790; gene_g17663; gene_g18149; gene_g18166; gene_g18256; gene_g19109; gene_g20984; gene_g26528
enriched_vs_control,10.52631579,19,cell motility,BP,gene_g3305; gene_g4259; gene_g4260; gene_g6958; gene_g7192; gene_g8296; gene_g8401; gene_g8883; gene_g8884; gene_g9285; gene_g9289; gene_g11703; gene_g12286; gene_g12725; gene_g13198; gene_g17663; gene_g19109; gene_g20984; gene_g26528
enriched_vs_control,16.66666667,2,cellular component organization,BP,gene_g12285; gene_g15343
enriched_vs_control,50,133,cellular component organization,BP,gene_g294; gene_g376; gene_g392; gene_g578; gene_g1147; gene_g1199; gene_g1301; gene_g1312; gene_g1449; gene_g2545; gene_g2817; gene_g3421; gene_g3587; gene_g3614; gene_g4064; gene_g4198; gene_g4508; gene_g4509; gene_g4510; gene_g4536; gene_g4607; gene_g4645; gene_g5202; gene_g5416; gene_g5843; gene_g6183; gene_g6242; gene_g6244; gene_g6403; gene_g6694; gene_g6796; gene_g6951; gene_g6958; gene_g7353; gene_g7480; gene_g7610; gene_g7797; gene_g7977; gene_g8334; gene_g8563; gene_g8724; gene_g9168; gene_g9233; gene_g9286; gene_g9354; gene_g9492; gene_g9650; gene_g10547; gene_g10550; gene_g10676; gene_g10680; gene_g10844; gene_g11030; gene_g11203; gene_g11389; gene_g11553; gene_g11703; gene_g11752; gene_g11781; gene_g11939; gene_g12031; gene_g12036; gene_g12105; gene_g12285; gene_g12286; gene_g12301; gene_g12355; gene_g12541; gene_g12798; gene_g12814; gene_g13119; gene_g13464; gene_g13749; gene_g14149; gene_g14196; gene_g14521; gene_g14870; gene_g14872; gene_g15107; gene_g15343; gene_g15817; gene_g16123; gene_g16284; gene_g16445; gene_g16504; gene_g16528; gene_g16537; gene_g16828; gene_g16858; gene_g17199; gene_g17540; gene_g17663; gene_g17864; gene_g17905; gene_g18166; gene_g18271; gene_g18592; gene_g18680; gene_g18681; gene_g18682; gene_g18751; gene_g19109; gene_g19185; gene_g19568; gene_g19600; gene_g19789; gene_g19802; gene_g19841; gene_g19905; gene_g20401; gene_g20484; gene_g21228; gene_g21329; gene_g21912; gene_g23191; gene_g23312; gene_g23518; gene_g23602; gene_g23729; gene_g23981; gene_g25644; gene_g25645; gene_g25682; gene_g25723; gene_g26082; gene_g26084; gene_g26085; gene_g26093; gene_g26115; gene_g26443; gene_g26805; gene_g1199; gene_g1312; gene_g2212; gene_g1312; gene_g18237
enriched_vs_control,3.759398496,5,cellular component organization,BP,gene_g1002; gene_g8294; gene_g13712; gene_g13984; gene_g17881
