Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
C17_R1_001	43.1573569185	42.0	144.922017926	9995964.0	18.1818181818
C17_R2_001	43.9523997169	42.0	144.781949595	9995964.0	0.0
C18_R1_001	40.1388932007	42.0	144.198215508	8932177.0	18.1818181818
C18_R2_001	40.9864453427	42.0	144.076611558	8932177.0	0.0
C19_R1_001	42.2853168533	42.0	144.715602581	9904246.0	18.1818181818
C19_R2_001	43.30624048	41.0	144.590137604	9904246.0	0.0
C20_R1_001	41.1511238407	42.0	144.799960261	9532236.0	18.1818181818
C20_R2_001	42.0203929845	42.0	144.652002112	9532236.0	0.0
C21_R1_001	36.4246402764	43.0	145.390318301	6603882.0	18.1818181818
C21_R2_001	37.3952928395	43.0	145.26120606	6603882.0	0.0
C22_R1_001	42.5804408687	42.0	144.283243086	9208366.0	18.1818181818
C22_R2_001	43.5908936396	42.0	144.175848788	9208366.0	0.0
C23_R1_001	41.5566183191	42.0	144.37338966	8341329.0	18.1818181818
C23_R2_001	42.2996859949	42.0	144.273238473	8341329.0	0.0
C24_R1_001	41.7423492979	41.0	144.824763252	8757929.0	18.1818181818
C24_R2_001	42.9503848837	41.0	144.715333271	8757929.0	0.0
C25_R1_001	43.50363604	42.0	144.722944526	11629144.0	18.1818181818
C25_R2_001	44.509309429	42.0	144.608402304	11629144.0	0.0
C26_R1_001	40.5416215785	42.0	144.134888057	8994525.0	18.1818181818
C26_R2_001	41.0595000065	42.0	143.987154408	8994525.0	0.0
C27_R1_001	43.6988151262	42.0	145.480215561	10049893.0	18.1818181818
C27_R2_001	43.7925977409	42.0	145.387581539	10049893.0	0.0
C28_R1_001	42.0645597405	41.0	144.668420512	9212518.0	18.1818181818
C28_R2_001	42.9156609493	41.0	144.54724908	9212518.0	0.0
C29_R1_001	38.7583038027	42.0	144.35845822	7098261.0	18.1818181818
C29_R2_001	38.4716558574	42.0	144.274314793	7098261.0	0.0
C30_R1_001	45.3063114417	42.0	144.686321604	10415161.0	18.1818181818
C30_R2_001	46.4304793899	42.0	144.566436563	10415161.0	0.0
C31_R1_001	43.1980518395	42.0	145.187285878	9746800.0	18.1818181818
C31_R2_001	44.1014401914	42.0	145.045454303	9746800.0	0.0
C32_R1_001	45.98398913	42.0	144.606124875	11033106.0	18.1818181818
C32_R2_001	46.5982387806	42.0	144.52072662	11033106.0	0.0
E10_R1_001	44.7264603088	41.0	144.803865431	11538170.0	18.1818181818
E10_R2_001	45.5680534136	41.0	144.674215929	11538170.0	0.0
E11_R1_001	38.2455824417	42.0	145.339458626	7438992.0	18.1818181818
E11_R2_001	38.7235491623	42.0	145.266300327	7438992.0	0.0
E12_R1_001	43.7909074446	42.0	144.450339249	11299819.0	18.1818181818
E12_R2_001	44.9051279116	42.0	144.38393376	11299819.0	0.0
E13_R1_001	42.404780288	42.0	144.841572638	9971472.0	18.1818181818
E13_R2_001	43.2400694912	42.0	144.791599475	9971472.0	9.09090909091
E14_R1_001	40.4626927847	42.0	144.68526718	8813377.0	18.1818181818
E14_R2_001	41.9323920229	42.0	144.638371194	8813377.0	0.0
E15_R1_001	42.0855792765	43.0	144.988397029	9735007.0	18.1818181818
E15_R2_001	42.8711447949	43.0	144.911665703	9735007.0	0.0
E16_R1_001	42.7157008914	42.0	144.129471751	11645830.0	18.1818181818
E16_R2_001	43.5830236835	42.0	144.085474028	11645830.0	0.0
E1_R1_001	44.8368205342	42.0	144.404806748	9943105.0	18.1818181818
E1_R2_001	45.7219569656	41.0	144.288312957	9943105.0	0.0
E2_R1_001	40.8283676334	42.0	144.305438976	9333668.0	18.1818181818
E2_R2_001	41.64823838	42.0	144.266116601	9333668.0	0.0
E3_R1_001	43.9359620344	42.0	144.359786081	10141593.0	18.1818181818
E3_R2_001	44.8128267868	42.0	144.309907329	10141593.0	0.0
E4_R1_001	43.4894519915	42.0	144.588132442	8544555.0	18.1818181818
E4_R2_001	44.0776551316	42.0	144.517910412	8544555.0	0.0
E5_R1_001	39.0132145694	42.0	144.607864533	6487429.0	18.1818181818
E5_R2_001	39.7299361673	41.0	144.454400965	6487429.0	0.0
E6_R1_001	45.7103577783	42.0	143.705039161	9898453.0	18.1818181818
E6_R2_001	46.4726185191	41.0	143.57185936	9898453.0	0.0
E7_R1_001	40.0263402411	42.0	144.494754764	9675638.0	18.1818181818
E7_R2_001	40.9439431654	42.0	144.377722482	9675638.0	0.0
E8_R1_001	41.1265098825	43.0	143.804027975	9034167.0	18.1818181818
E8_R2_001	42.1588099583	43.0	143.724250836	9034167.0	0.0
E9_R1_001	41.9688513574	42.0	144.345157733	9758466.0	18.1818181818
E9_R2_001	42.9253744958	42.0	144.239587861	9758466.0	0.0
