experiment,percentDEInCat,term,genes
enriched_vs_control,50,cell cycle process,gene606; gene14400
enriched_vs_control,2.985074627,response to stress,gene264; gene407; gene456; gene478; gene542; gene549; gene1260; gene1261; gene1296; gene1316; gene1361; gene1539; gene1805; gene2105; gene2997; gene3275; gene3642; gene3645; gene4307; gene4388; gene4418; gene4761; gene4762; gene5059; gene5108; gene5109; gene5267; gene5292; gene5487; gene5697; gene5826; gene6426; gene6433; gene6651; gene7074; gene7253; gene7339; gene7385; gene7418; gene7423; gene7429; gene7679; gene7680; gene7950; gene8165; gene8543; gene8799; gene8893; gene8935; gene8977; gene9017; gene9343; gene9567; gene9964; gene10059; gene10198; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene10551; gene10552; gene10620; gene10623; gene10696; gene10867; gene11274; gene11524; gene11528; gene11598; gene11606; gene11896; gene11931; gene12393; gene12425; gene12509; gene12517; gene12560; gene12840; gene12985; gene13021; gene13135; gene13173; gene13365; gene13394; gene13773; gene13816; gene13929; gene14414; gene14732; gene14785; gene14863; gene14942; gene14977; gene15290; gene15326; gene15389; gene15655; gene15804; gene16045; gene16046; gene16315; gene16818; gene17177; gene17636; gene17637; gene17800; gene17802; gene17826; gene18031; gene18149; gene18155; gene18857; gene19066; gene19246; gene19389; gene19525; gene20257; gene20419; gene20552; gene20611; gene20893; gene22958; gene23230; gene24266; gene25069; gene25715; gene25825; gene25929; gene25935; gene26337; gene26453; gene525_5de57afd
enriched_vs_control,4.347826087,response to stress,gene316; gene503; gene830; gene950; gene1081; gene1082; gene1153; gene1414; gene1618; gene1892; gene1942; gene2509; gene2515; gene3034; gene3099; gene3152; gene3360; gene3417; gene3746; gene5329; gene5361; gene5826; gene6301; gene6433; gene7130; gene7167; gene7599; gene8244; gene9410; gene9427; gene10792; gene10867; gene11041; gene11421; gene11516; gene11517; gene11518; gene11519; gene11524; gene11531; gene11721; gene11886; gene12440; gene12769; gene13136; gene13279; gene14372; gene14703; gene14863; gene15844; gene16163; gene16307; gene16315; gene16711; gene18735; gene20611; gene20973; gene23580; gene23645; gene23801; gene23984; gene24298; gene24367; gene25052; gene25514; gene26228; gene26232; gene4587; gene10747
enriched_vs_control,2.836879433,response to stimulus,gene62; gene82; gene255; gene466; gene481; gene663; gene1178; gene1288; gene1325; gene1816; gene1893; gene2045; gene2076; gene2090; gene2339; gene2524; gene2594; gene2759; gene2760; gene2978; gene3363; gene3414; gene3664; gene3685; gene3756; gene3783; gene3913; gene4145; gene4261; gene4263; gene4448; gene4449; gene4518; gene4680; gene4924; gene5207; gene5371; gene5446; gene5512; gene5646; gene5737; gene5759; gene5946; gene5947; gene5949; gene6332; gene6341; gene6450; gene6684; gene6688; gene6923; gene7088; gene7598; gene7982; gene8055; gene8136; gene8692; gene8693; gene8875; gene8894; gene9088; gene9266; gene9530; gene9608; gene9669; gene10536; gene10568; gene10621; gene10622; gene10624; gene10712; gene10825; gene11061; gene11090; gene11095; gene11478; gene11884; gene11932; gene12129; gene12161; gene12741; gene12857; gene13001; gene13366; gene14125; gene14126; gene14254; gene14599; gene14660; gene14787; gene15069; gene15330; gene15334; gene15602; gene15734; gene16338; gene16510; gene16511; gene16518; gene16666; gene16813; gene16871; gene17203; gene17366; gene17466; gene17533; gene17822; gene17855; gene18001; gene18253; gene18595; gene18761; gene18970; gene19065; gene19219; gene19903; gene20256; gene20408; gene20572; gene20756; gene20862; gene21266; gene21487; gene21569; gene23009; gene23170; gene23357; gene23461; gene23560; gene23842; gene24031; gene24551; gene24735; gene25305; gene25581; gene25751; gene26304; gene26350; gene26660; gene26703; gene26742; gene252_5de57afd; gene274_5de57afd; gene423_5de57afd; gene432_5de57afd; gene559_5de57afd; gene597_5de57afd; gene700_5de57afd
enriched_vs_control,6.666666667,transport,gene248; gene249; gene1508; gene1510; gene1511; gene1512; gene2235; gene3325; gene4165; gene4166; gene4169; gene4925; gene6303; gene6608; gene6817; gene7437; gene7615; gene8192; gene8193; gene8446; gene9146; gene9147; gene13505; gene14920; gene17733; gene23125; gene23127; gene23131; gene23132; gene26080
enriched_vs_control,33.33333333,transport,gene369; gene13279; gene18735
enriched_vs_control,33.33333333,transport,gene5052; gene13279; gene18735
enriched_vs_control,25,regulation of reactive oxygen,gene100; gene5701; gene13135; gene19246
enriched_vs_control,50,transport,gene13279; gene18735
enriched_vs_control,2.415458937,regulation of macromolecule metabolic process,gene28; gene195; gene424; gene461; gene665; gene709; gene983; gene1022; gene1054; gene1076; gene1593; gene1689; gene2130; gene2217; gene2463; gene2537; gene2542; gene2543; gene2544; gene2666; gene2801; gene2934; gene2935; gene2995; gene3008; gene3217; gene3333; gene3416; gene3526; gene3674; gene3747; gene4004; gene4041; gene4087; gene4091; gene4512; gene4763; gene4766; gene4767; gene4768; gene4769; gene4770; gene4771; gene4963; gene5030; gene5098; gene5252; gene5266; gene5286; gene5312; gene5384; gene5403; gene5483; gene5666; gene5767; gene5768; gene5855; gene5934; gene6037; gene6458; gene7018; gene7076; gene7093; gene7231; gene7449; gene7458; gene7589; gene7590; gene7742; gene8136; gene8397; gene8400; gene8451; gene8566; gene8765; gene9108; gene9511; gene9545; gene9572; gene9722; gene9749; gene9788; gene10040; gene10105; gene10271; gene10346; gene10350; gene10564; gene10822; gene10846; gene10862; gene10930; gene10944; gene11029; gene11032; gene11217; gene11570; gene11619; gene11689; gene11937; gene12061; gene12069; gene12134; gene12153; gene12218; gene12361; gene12554; gene12725; gene12898; gene12910; gene13063; gene13167; gene13472; gene13698; gene13977; gene14057; gene14067; gene14489; gene14524; gene14536; gene14604; gene14706; gene14769; gene14903; gene15010; gene15050; gene15117; gene15206; gene15254; gene15446; gene15767; gene15822; gene16070; gene16090; gene16673; gene16873; gene16895; gene16896; gene16933; gene17185; gene17203; gene17382; gene17468; gene17547; gene17595; gene17864; gene17873; gene17890; gene17978; gene18142; gene18254; gene18543; gene18927; gene18962; gene18970; gene19091; gene19326; gene19421; gene19488; gene19545; gene19638; gene19643; gene19689; gene19719; gene19770; gene19826; gene19895; gene19969; gene19973; gene20028; gene20205; gene20425; gene20475; gene20561; gene20579; gene20838; gene20855; gene20949; gene21153; gene21168; gene21233; gene22014; gene22092; gene22662; gene22698; gene22847; gene23051; gene23173; gene23280; gene23527; gene23535; gene23537; gene23602; gene24446; gene25181; gene25592; gene25732; gene25740; gene25757; gene25808; gene25858; gene25863; gene25864; gene26179; gene26440; gene26477; gene26622; gene26733; gene29_5de57afd; gene85_5de57afd; gene146_5de57afd; gene162_5de57afd; gene252_5de57afd; gene317_5de57afd; gene377_5de57afd; gene423_5de57afd; gene559_5de57afd; gene712_5de57afd
