experiment,percentDEInCat,set_size,term,genes
enriched_vs_control,50,2,binding,gene_g13135; gene_g19246
enriched_vs_control,6.52173913,46,binding,gene_g1039; gene_g1126; gene_g1932; gene_g2435; gene_g3290; gene_g3695; gene_g3978; gene_g4511; gene_g4724; gene_g5082; gene_g5424; gene_g7034; gene_g7049; gene_g7083; gene_g7282; gene_g7464; gene_g8144; gene_g8180; gene_g8375; gene_g8893; gene_g8935; gene_g9614; gene_g9850; gene_g10620; gene_g10623; gene_g10911; gene_g11099; gene_g11896; gene_g11927; gene_g12509; gene_g12517; gene_g13365; gene_g14942; gene_g15603; gene_g15960; gene_g16615; gene_g16616; gene_g17826; gene_g18262; gene_g19246; gene_g19771; gene_g20550; gene_g22418; gene_g24721; gene_g26110; gene_g26212; gene_3_5de57afd; gene_525_5de57afd
enriched_vs_control,20,5,binding,gene_g1391; gene_g4828; gene_g4852; gene_g8031; gene_662_5de57afd; gene_g630
enriched_vs_control,5.633802817,71,binding,gene_g217; gene_g218; gene_g219; gene_g996; gene_g1842; gene_g2042; gene_g2509; gene_g2643; gene_g4282; gene_g6540; gene_g6636; gene_g7060; gene_g7102; gene_g7625; gene_g7747; gene_g8101; gene_g10696; gene_g10722; gene_g11434; gene_g11435; gene_g11487; gene_g11531; gene_g12417; gene_g12819; gene_g13886; gene_g13888; gene_g13943; gene_g15042; gene_g16709; gene_g16890; gene_g20284; gene_g23613; gene_g23740; gene_g23778; gene_g24328; gene_g24986; gene_g25328; gene_g25406; gene_g26406; gene_70_5de57afd; gene_g84; gene_g284; gene_g2912; gene_g7142; gene_g8974; gene_g9041; gene_g11472; gene_g14928; gene_g15909; gene_g18144; gene_g20093; gene_g20861; gene_g23502; gene_g24663; gene_g24919; gene_g25060; gene_g25650; gene_g25980; gene_606_5de57afd; gene_g1644; gene_g1645; gene_g1650; gene_g5525; gene_g5526; gene_g18898; gene_g19794; gene_g9004; gene_g9040; gene_g9042; gene_g20735; gene_g22595; gene_g22604; gene_g25527
enriched_vs_control,20,15,binding,gene_g542; gene_g849; gene_g2345; gene_g7271; gene_g10340; gene_g10341; gene_g10342; gene_g10343; gene_g10344; gene_g10345; gene_g12449; gene_g14883; gene_g23287; gene_g541; gene_g20305
enriched_vs_control,20,5,binding,gene_g9422; gene_g9614; gene_g13135; gene_g14771; gene_g19246
enriched_vs_control,20,5,binding,gene_g4336; gene_g9422; gene_g9934; gene_g12139; gene_g19246; gene_272_5de57afd; gene_582_5de57afd
enriched_vs_control,13.33333333,15,binding,gene_g1039; gene_g1126; gene_g2705; gene_g7083; gene_g7872; gene_g10642; gene_g11134; gene_g14844; gene_g15780; gene_g16615; gene_g16616; gene_g18155; gene_g19525; gene_g20298; gene_g25578
enriched_vs_control,50,2,binding,gene_g14771; gene_g19246
enriched_vs_control,33.33333333,3,binding,gene_g6018; gene_g7570; gene_g12535
enriched_vs_control,100,1,binding,gene_g16604
enriched_vs_control,18.18181818,11,catalytic activity,gene_g7166; gene_g11748; gene_g11749; gene_g14589; gene_g14810; gene_g14862; gene_g15169; gene_g15783; gene_g15784; gene_g16737; gene_g22809; gene_751_5de57afd
enriched_vs_control,50,2,catalytic activity,gene_g2055; gene_g13043
enriched_vs_control,100,1,catalytic activity,gene_g18067
enriched_vs_control,20,5,catalytic activity,gene_g2426; gene_g9611; gene_g15035; gene_g24232; gene_g15034
enriched_vs_control,100,1,catalytic activity,gene_g18067
enriched_vs_control,33.33333333,3,catalytic activity,gene_g778; gene_g24733; gene_g26142
enriched_vs_control,100,1,catalytic activity,gene_g15639
enriched_vs_control,10.52631579,19,catalytic activity,gene_g1323; gene_g1324; gene_g2951; gene_g6748; gene_g8579; gene_g14124; gene_g17210; gene_g26051; gene_g1325; gene_g5371; gene_g6302; gene_g7331; gene_g8578; gene_g14123; gene_g14125; gene_g14126; gene_g14127; gene_g18337; gene_g25586; gene_553_5de57afd
enriched_vs_control,50,2,catalytic activity,gene_g14315; gene_g15981; gene_486_5de57afd
enriched_vs_control,20,5,catalytic activity,gene_g1376; gene_g7149; gene_g16312; gene_g25848; gene_g18237
enriched_vs_control,100,1,catalytic activity,gene_g5863
enriched_vs_control,33.33333333,3,catalytic activity,gene_g542; gene_g849; gene_g8963
enriched_vs_control,20,5,catalytic activity,gene_g2049; gene_g11755; gene_g14756; gene_470_5de57afd; gene_g12098; gene_g10665
enriched_vs_control,33.33333333,3,catalytic activity,gene_g542; gene_g849; gene_g20305
enriched_vs_control,50,2,catalytic activity,gene_g23763; gene_g26149
enriched_vs_control,100,1,catalytic activity,gene_g26149
enriched_vs_control,33.33333333,3,catalytic activity,gene_g541; gene_g542; gene_g849
enriched_vs_control,16.66666667,12,catalytic activity,gene_g3290; gene_g10556; gene_g11135; gene_g13222; gene_g13770; gene_g16367; gene_g18888; gene_g19771; gene_g23166; gene_g23722; gene_g25262; gene_g4546
enriched_vs_control,33.33333333,3,catalytic activity,gene_g4188; gene_g4796; gene_g10560
enriched_vs_control,33.33333333,3,catalytic activity,gene_g13135; gene_g14771; gene_g19246
enriched_vs_control,50,2,catalytic activity,gene_g24733; gene_g26142
enriched_vs_control,100,1,catalytic activity,gene_g16312
enriched_vs_control,9.523809524,21,catalytic activity,gene_g138; gene_g2258; gene_g3034; gene_g7570; gene_g8292; gene_g8729; gene_g9210; gene_g11619; gene_g11702; gene_g14363; gene_g15713; gene_g16979; gene_g17111; gene_g18142; gene_g20617; gene_g21912; gene_g23020; gene_g23093; gene_g25533; gene_g25964; gene_g26281
enriched_vs_control,33.33333333,3,catalytic activity,gene_g846; gene_g14739; gene_g18546
enriched_vs_control,25,4,catalytic activity,gene_g12577; gene_g14740; gene_g25471; gene_g23926
