"","C26","C30","E15","E2","E4","C17","C18","C19","C20","C21","C22","C23","C24","C25","C27","C28","C29","C31","C32","E1","E10","E11","E12","E13","E14","E16","E3","E5","E6","E7","E8","E9"
"Pver_gene_g130",878,867,633,659,512,953,775,584,602,381,818,580,859,981,987,884,648,810,980,562,949,458,1003,757,607,757,582,400,369,564,611,728
"Pver_gene_g7878",213,363,686,794,514,297,402,161,312,146,235,160,577,560,625,472,220,370,538,244,471,467,753,578,660,640,500,316,198,592,677,178
"Pver_gene_g1842",297,307,252,304,339,154,180,200,267,172,250,173,187,215,196,187,102,313,261,344,369,246,487,351,165,230,223,230,329,437,414,458
"Pver_gene_g23161",54,128,153,465,189,337,155,130,167,125,137,97,89,210,55,247,68,65,97,983,110,60,487,81,409,333,435,580,417,101,280,341
"Pver_gene_g26469",835,669,1153,992,3810,984,603,1584,1112,371,310,449,1052,1044,844,715,776,650,1231,5261,762,842,1429,919,596,1447,16033,3274,8346,1062,1714,686
"Pver_gene_g7972",920,463,572,1521,695,906,732,769,538,317,617,463,151,1053,644,417,378,405,865,1168,746,891,649,1081,895,1217,709,480,735,710,956,1203
"Pver_gene_g25888",209,436,276,233,107,238,441,276,477,207,338,345,526,542,430,433,258,314,468,104,375,121,503,355,195,271,203,83,84,391,189,391
"Pver_gene_g26149",889,1309,1255,1245,951,1075,830,1198,895,685,1074,707,1061,1766,1000,1157,745,1001,1295,991,1487,797,1474,1303,1237,1632,1032,810,1138,1136,929,1500
"Pver_gene_g6161",1423,519,925,1445,1616,1528,532,2627,1414,222,616,667,881,1146,1528,1063,1933,2021,1097,18801,634,1033,1304,1194,636,898,5601,9391,8272,779,1979,366
"Pver_gene_g1594",2319,2918,1834,3917,3652,2619,2422,3668,2766,1829,2350,2057,1555,2169,2587,1800,1612,3225,3181,6492,4383,1622,3149,4070,3466,3378,7274,4998,7663,2261,3999,4803
"Pver_gene_g82",99,142,121,241,130,97,104,71,120,40,226,95,179,371,136,266,78,131,218,194,308,176,366,204,181,384,274,91,260,169,186,159
"Pver_gene_g25926",789,850,652,1076,1894,531,372,935,697,330,536,436,480,705,948,466,1285,830,561,4151,665,605,1057,646,600,619,4444,2845,5483,1142,930,749
"Pver_gene_g5715",238,338,1974,1490,859,388,89,276,173,116,202,85,434,282,226,298,272,196,273,1992,2038,967,1804,1472,1518,1550,610,708,476,1398,1376,1503
"Pver_gene_g5714",52,120,168,175,63,79,21,28,31,16,59,11,101,78,59,130,27,85,70,79,190,136,100,91,152,221,82,61,96,84,109,166
"Pver_gene_g5713",88,204,309,214,196,108,31,116,80,71,143,59,177,283,140,342,73,155,224,259,418,269,350,234,333,410,142,149,245,174,194,308
"Pver_gene_g4609",5443,6332,4784,4753,3154,5804,4663,3706,4240,3196,5635,4165,5678,7613,5657,5990,4626,4324,7216,3449,6494,3439,5729,5314,4673,5624,3317,2368,2304,4846,4010,4640
"Pver_gene_g20439",46,57,800,43,801,89,62,49,116,45,30,726,33,135,82,69,61,69,59,1454,89,132,126,87,42,1645,116,39,56,103,31,139
"Pver_gene_g13706",4053,4027,2651,8223,19692,6221,5440,14625,4041,1636,3990,3303,3677,4334,4321,3667,4138,6388,4691,40292,4370,3346,5909,5948,3512,5276,20319,17174,32770,7037,8706,4595
"Pver_gene_g916",431,456,472,427,168,526,289,467,450,271,605,330,472,743,535,575,399,298,595,334,566,301,455,482,383,542,261,149,235,356,251,275
"Pver_gene_g7459",5079,5174,4147,7182,4194,5664,4989,4759,4723,2472,5522,4424,4651,6068,5031,5648,3766,5322,6221,6453,7334,4161,7200,8062,5621,6236,5603,3458,6061,5958,6146,7193
"Pver_gene_g9266",30,33,36,138,242,50,121,53,87,33,60,41,48,120,80,160,39,48,158,221,204,119,56,58,54,130,161,108,140,151,162,46
"Pver_gene_g19527",732,1110,3458,3990,1597,1634,1361,1269,1437,522,1726,1313,752,1971,7567,794,973,422,2269,879,970,2507,1388,10666,19484,1976,8186,5570,1455,2261,1909,1145
"Pver_gene_g15382",979,1397,813,855,740,794,899,646,814,655,995,712,1012,1359,1083,1157,769,883,1352,720,1319,635,1100,1005,702,847,681,547,497,702,691,1004
"Pver_gene_g16771",935,1139,174,124,94,91,121,122,1007,30,33,84,333,357,13,145,143,73,111,77,204,52,92,50,93,36,50,49,83,47,109,55
"Pver_gene_g11517",646,389,685,1169,8187,2660,2732,3510,1022,95,136,142,1142,632,1214,1274,704,1941,300,17609,1135,1006,1160,930,631,913,5092,6940,7406,374,2323,218
"Pver_gene_g8523",2141,3933,2007,2073,1718,2182,1866,1500,1685,2094,2956,3554,2290,2271,1120,1687,1814,2030,2646,575,2010,1044,2104,1905,792,2103,945,591,689,1117,1290,2597
"Pver_gene_g26232",1106,427,560,1134,3783,1033,625,1302,849,312,844,245,334,337,811,297,1740,2093,1411,3869,328,1311,619,1518,962,820,4558,3944,4933,806,2334,800
"Pver_gene_g12577",1255,1358,1273,1567,844,1232,1239,998,1026,701,1090,829,1091,1551,1278,1151,729,1092,1406,1217,1917,906,1883,1544,1651,1675,1205,864,1023,1155,1138,1738
"Pver_gene_g6289",2828,2712,1704,871,754,2122,2369,1393,2208,1951,3456,2788,2298,5230,3701,3585,2466,2060,3528,510,1193,649,1070,1558,1227,1856,744,604,398,1296,1037,1391
"Pver_gene_g23053",4332,5994,4268,6483,4782,5564,3664,5717,4352,2354,4093,2646,3954,5719,5841,5071,3577,4454,4543,7614,5471,3410,6826,5203,4735,5685,6765,5642,7611,4761,4570,5218
"Pver_gene_g71",3031,3178,2612,2358,1737,3391,2914,2171,2415,1755,3805,2325,3428,3340,2670,3246,2583,2613,3184,2173,3802,1616,3746,3442,2283,2924,1934,1215,1549,2278,1877,3058
"Pver_gene_g11124",2961,2694,2753,2196,1456,3380,2431,1930,2133,1544,3118,2343,3487,4051,3758,3507,2337,2229,3523,1876,3136,1518,3504,2788,2543,3398,1500,954,950,2331,2078,2447
"Pver_gene_g11126",92,78,370,388,108,46,216,159,281,79,45,67,36,140,344,129,21,76,122,168,53,297,192,263,122,182,595,198,465,199,467,75
"Pver_gene_g7717",2165,3352,2255,2407,1469,2873,2333,2096,2200,1467,2671,2092,2803,4093,3176,3095,2090,2115,3578,1656,3278,1979,3215,2793,2237,2900,1725,1347,1368,2455,2139,2416
"Pver_gene_g3620",479,703,451,507,323,779,547,408,621,386,663,488,682,778,635,589,452,523,825,377,711,353,690,660,529,636,364,273,263,344,443,643
"Pver_gene_g4013",525,631,350,343,166,441,357,322,379,277,579,473,483,709,350,602,331,387,543,204,546,136,575,418,368,531,208,69,131,243,220,392
"Pver_gene_g4016",6775,5756,4567,10666,11151,6273,7664,8455,8603,3317,4489,4230,3617,4971,4549,3329,4279,8325,6548,18471,7700,4008,7989,9272,5104,6890,16764,11708,25432,6104,9903,10701
