,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
Pver_g10185,98.87915153,-1.569853081,0.416894085,-3.76559212,0.000166155,0.023054407,Pver_g10185
Pver_g10186,320.6880963,-2.720836323,0.630084253,-4.318210322,1.57E-05,0.006040559,Pver_g10186
Pver_g10191,2814.326711,-1.079104681,0.284515155,-3.792784541,0.000148967,0.021473839,Pver_g10191
Pver_g10284,9575.791302,-0.470010683,0.128787867,-3.649495052,0.000262756,0.030416663,Pver_g10284
Pver_g10340,1415.201574,-0.637797626,0.179089934,-3.561325927,0.000368987,0.036169131,Pver_g10340
Pver_g10341,111.7183974,-2.462627376,0.607267809,-4.055257562,5.01E-05,0.012272239,Pver_g10341
Pver_g10413,3608.952411,-0.646580137,0.186715247,-3.462920933,0.000534345,0.04428097,Pver_g10413
Pver_g10418,61.30304807,1.41613017,0.41729727,3.393576405,0.000689863,0.048447279,Pver_g10418
Pver_g10505,15833.41663,-0.423576944,0.125472087,-3.375865945,0.000735838,0.049597009,Pver_g10505
Pver_g10560,606.9148733,0.523519639,0.148885527,3.516256072,0.000437679,0.03923349,Pver_g10560
Pver_g10672,2043.904742,-0.823679866,0.225803637,-3.64777058,0.000264526,0.030416663,Pver_g10672
Pver_g10859,610.5529605,-1.33292558,0.330292746,-4.035588423,5.45E-05,0.013159201,Pver_g10859
Pver_g11057,69.24905715,0.776353137,0.197228824,3.936306684,8.27E-05,0.016687619,Pver_g11057
Pver_g11103,157.3689819,-1.397924464,0.394525873,-3.54330238,0.000395149,0.037043386,Pver_g11103
Pver_g11124,2417.633552,0.33527624,0.097117682,3.452267716,0.000555896,0.044764949,Pver_g11124
Pver_g11126,195.8103507,-1.240119749,0.350513272,-3.538010822,0.000403154,0.037512637,Pver_g11126
Pver_g11175,494.5681315,0.279911017,0.082581669,3.389505473,0.000700188,0.048627639,Pver_g11175
Pver_g11179,632.1151784,-1.845076522,0.486988046,-3.788751154,0.000151406,0.021643556,Pver_g11179
Pver_g11231,1062.552946,0.597942496,0.176615241,3.385565673,0.000710317,0.048934858,Pver_g11231
Pver_g11293,2862.48974,-0.462522375,0.102149135,-4.527912789,5.96E-06,0.003457091,Pver_g11293
Pver_g11363,294.1825797,-1.208224258,0.321263974,-3.760845765,0.00016934,0.023054407,Pver_g11363
Pver_g11517,2593.634975,-1.835453878,0.538805731,-3.406522559,0.000657961,0.047422963,Pver_g11517
Pver_g1156,2328.390221,-0.550973557,0.150340425,-3.664839687,0.000247494,0.029603864,Pver_g1156
Pver_g11579,64.01523227,-1.122691353,0.31867844,-3.52295986,0.000426756,0.038733186,Pver_g11579
Pver_g11765,5747.48322,-1.440822551,0.426271285,-3.380060069,0.0007247,0.049331357,Pver_g11765
Pver_g11858,116.0228308,-1.594055662,0.369286291,-4.316584999,1.58E-05,0.006040559,Pver_g11858
Pver_g1188,1078.277847,0.235887852,0.0679339,3.472314278,0.000515992,0.043388848,Pver_g1188
Pver_g12076,40.55745766,-0.759675418,0.190275347,-3.992505756,6.54E-05,0.014824892,Pver_g12076
Pver_g12211,393.334377,0.30563273,0.087733458,3.483650803,0.000494624,0.042003894,Pver_g12211
