gene_id,log2FoldChange
Pver_g1,-0.929246932861022
Pver_g10,0.267816224620726
Pver_g100,0.501114588225982
Pver_g1000,0.108039662244707
Pver_g10000,-0.0326865968608176
Pver_g10001,-0.218613835484485
Pver_g10002,-0.00363992749308593
Pver_g10003,0.134702152824722
Pver_g10004,-0.156710911689241
Pver_g10005,-0.273358477288848
Pver_g10006,-0.0774264455754555
Pver_g10007,0.020492415227855
Pver_g10008,0.0945725012685678
Pver_g10009,-0.27031510914579
Pver_g1001,-0.16212300396101
Pver_g10010,0.0830224915240107
Pver_g10011,-0.0808890019869739
Pver_g10012,-0.134603569141972
Pver_g10013,0.069869246675036
Pver_g10014,-0.152234844515884
Pver_g10018,-0.713238001395002
Pver_g10019,-0.498968863591258
Pver_g1002,0.380936401767053
Pver_g10021,-0.116871808116096
Pver_g10022,-0.273343106897057
Pver_g10023,-0.219173428622235
Pver_g10024,-0.145053061492089
Pver_g10025,-0.0195938401063467
Pver_g10026,0.0275023152691939
Pver_g10027,0.153168036417219
Pver_g10028,0.23070416332319
Pver_g10029,-0.0780195431122798
Pver_g1003,-0.0681678240931179
Pver_g10030,-0.136249241440341
Pver_g10031,-0.258151785838957
Pver_g10032,-0.0819070792775195
Pver_g10033,-0.161734849352603
Pver_g10034,-0.361388253845151
Pver_g10035,-0.0850426655192474
Pver_g10038,-0.586449465525489
Pver_g10039,0.0598234962538121
Pver_g1004,0.00377739795890968
Pver_g10041,0.615327052043563
Pver_g10044,-0.0249536626988274
Pver_g10046,-1.85476960251984
Pver_g1005,0.152071774251988
Pver_g10050,-0.281555344509393
Pver_g10051,0.0821266663280616
Pver_g10052,0.0388306799459218
Pver_g10053,-0.0150902237187042
Pver_g10054,0.0785613263256745
Pver_g10055,-0.161785154923038
Pver_g10056,0.138793132431589
Pver_g10057,0.0429204067924879
Pver_g10058,-0.712965991160991
Pver_g10059,-0.838035435875354
Pver_g1006,-0.742984883179651
Pver_g10060,-0.106704640991376
Pver_g10061,0.0358434162267869
Pver_g10062,0.0800058807633937
Pver_g10063,0.0730599783273587
Pver_g10065,-0.721500881766171
Pver_g10066,0.0240370213003107
Pver_g10067,0.000363075945909518
Pver_g10068,-0.100094706024346
Pver_g10069,0.196374831205945
Pver_g1007,-0.669938391224585
Pver_g10070,-0.22757674372319
Pver_g10071,-0.118293878608142
Pver_g10073,0.0752936974779793
Pver_g10074,0.0191224264447481
Pver_g10079,0.0976929148361418
Pver_g1008,-0.103088994490487
Pver_g10081,0.350503616731795
Pver_g10082,0.758571242968614
Pver_g10083,-0.166295141907086
Pver_g10084,-0.506093126906077
Pver_g10085,-0.00640704171124296
Pver_g10086,0.193441052807602
Pver_g10087,-0.0331844909387329
Pver_g10088,0.251255935265321
Pver_g1009,0.114404620687726
Pver_g10090,-0.0759760966593643
Pver_g10091,-0.0535839255923597
Pver_g10093,0.241792450953932
Pver_g10094,0.20535896190708
Pver_g10095,-0.0353648484964955
Pver_g10096,-0.218860840593334
Pver_g10097,0.424476722977891
Pver_g10098,-0.0365495914877335
Pver_g10099,0.0225089904735474
Pver_g101,0.154032628818546
Pver_g1010,-0.0765854260669238
Pver_g10100,0.498139595111422
Pver_g10101,-0.0155687570406291
Pver_g10102,-0.31812263718424
Pver_g10104,0.121041427763276
Pver_g10105,0.001389971601123
Pver_g10106,-0.0494026168512438
Pver_g10107,0.163882859049566
Pver_g10108,0.441920433447537
Pver_g10109,0.129744424360771
Pver_g1011,0.0646072787767906
Pver_g10110,-0.0475313286259714
Pver_g10111,-0.154552811224781
Pver_g10112,0.259321189716014
Pver_g10114,0.0995419794253841
Pver_g10115,-0.0684678418322384
Pver_g10117,-0.540179987441028
Pver_g10119,0.189920244852586
Pver_g1012,0.165260324169886
Pver_g10120,0.53364388644365
Pver_g10121,-0.181129908614248
Pver_g10122,0.0864294666573093
Pver_g10123,0.44630250753601
Pver_g10125,0.3272025828439
Pver_g10127,0.381071922626661
Pver_g1013,0.161205704060969
Pver_g10131,-0.0245478314216432
Pver_g10132,0.316336040035743
Pver_g10135,-0.0790727583589001
Pver_g10137,-0.263468568015949
Pver_g10139,-0.423933066784679
Pver_g1014,-0.0868938649640098
Pver_g10141,1.00045560919223
Pver_g10142,0.206327380528156
Pver_g10143,-1.01941614368926
Pver_g10144,-0.185808170654406
Pver_g10145,-0.179158141596563
Pver_g10146,0.220079490173169
