fragment.ID,treatment,block,Sample.ID,WGBS.lib.ID
PV_3,enriched,1,3,1
PV_7,enriched,2,7,2
PV_14,enriched,4,14,3
PV_26,control,7,26,4
PV_31,control,8,31,5
PV_29,control,8,29,6
PV_13,enriched,4,13,7
PV_20,control,5,20,8
PV_18,control,5,18,9
PV_24,control,6,24,10
PV_10,enriched,3,10,11
PV_27,control,7,27,12
PV_22,control,6,22,13
PV_11,enriched,3,11,14
PV_4,enriched,1,4,15
PV_28,control,7,28,16
PV_6,enriched,2,6,17
PV_21,control,6,21,18
PV_8,enriched,2,8,19
PV_12,enriched,3,12,20
PV_5,enriched,2,5,21
PV_30,control,8,30,22
PV_1,enriched,1,1,23
PV_23,control,6,23,24
PV_16,enriched,4,16,25
PV_19,control,5,19,26
PV_25,control,7,25,27
PV_2,enriched,1,2,28
PV_9,enriched,3,9,29
PV_32,control,8,32,30
PV_15,enriched,4,15,31
PV_17,control,5,17,32
