term,comparison,percentDEInCat,set_size,cluster
Anatomical structure development,Enriched_vs_Control,5.52884025,416,1
Behavior,Enriched_vs_Control,50,2,2
Biological process involved in interspecies interaction,Enriched_vs_Control,50,2,3
Carbohydrate derivative metabolic process,Enriched_vs_Control,12,25,4
Carbohydrate metabolic process,Enriched_vs_Control,20,5,5
Carboxylic acid metabolic process,Enriched_vs_Control,33.333333,3,6
Cell adhesion,Enriched_vs_Control,-6.31578947,95,7
Cell cycle process,Enriched_vs_Control,-33.333333,3,8
Cell differentiation,Enriched_vs_Control,25,4,9
Cell motility,Enriched_vs_Control,9.25925926,54,2
Cellular component organization,Enriched_vs_Control,-5.08474576,236,10
Cellular homeostasis,Enriched_vs_Control,33.333333,3,9
Cellular localization,Enriched_vs_Control,12.5,8,11
Cellular metabolic process,Enriched_vs_Control,5.3714286,112,1
Cellular nitrogen compound,Enriched_vs_Control,33.333333,10,3
Cytoplasmic translation,Enriched_vs_Control,-33.333333,9,8
Cytoskeleton organization,Enriched_vs_Control,-18.181818,11,5
DNA biosynthetic process,Enriched_vs_Control,7.294833,329,12
DNA metabolic process,Enriched_vs_Control,4.887218,266,13
DNA repair,Enriched_vs_Control,49.444444,180,14
DNA replication,Enriched_vs_Control,13.513515,37,14
DNA-templated transcription,Enriched_vs_Control,16.666667,36,15
Immune system process,Enriched_vs_Control,9.090909,33,16
Intracellular protein transport,Enriched_vs_Control,22.22222,9,17
Lipid metabolic process,Enriched_vs_Control,50,2,18
Membrane organization,Enriched_vs_Control,20,10,10
Microtubule-based movement,Enriched_vs_Control,16.666667,6,3
Mitotic cell cycle,Enriched_vs_Control,-12.5,16,3
Muscle system process,Enriched_vs_Control,-25,4,19
Nitrogen compound metabolic process,Enriched_vs_Control,6.6869309,329,12
Nucleic acid metabolic process,Enriched_vs_Control,10.03992,1527,13
Organelle localization,Enriched_vs_Control,25,4,7
Positive regulation of cellular pH,Enriched_vs_Control,33.333333,3,1
Positive regulation of translation,Enriched_vs_Control,15.384615,26,2
Protein maturation,Enriched_vs_Control,33.333333,3,11
Protein metabolic process,Enriched_vs_Control,1.84581976,921,2
Protein modification process,Enriched_vs_Control,3.9735099,151,2
Regulation of catalytic activity,Enriched_vs_Control,50,6,5
Regulation of cellular process,Enriched_vs_Control,14.285743,14,20
Regulation of gene expression,Enriched_vs_Control,100,8,8
Regulation of phospholipase activity,Enriched_vs_Control,9.090909,22,2
Reproductive process,Enriched_vs_Control,-44.44444,9,1
Response to nitrogen compound,Enriched_vs_Control,50,4,8
Response to nutrient levels,Enriched_vs_Control,100,4,8
Response to stress,Enriched_vs_Control,33.3333333,6,8
Response to virus,Enriched_vs_Control,-33.3333333,3,16
Signaling,Enriched_vs_Control,6.62650602,332,1
Telomere organization,Enriched_vs_Control,25,4,14
Transmembrane transport,Enriched_vs_Control,7.5,40,9
Transport,Enriched_vs_Control,11.5789474,285,15
Viral process,Enriched_vs_Control,19.2307692,26,8
Wound healing,Enriched_vs_Control,4,75,10
