fragment.ID,treatment,block,Sample.ID
PV_1,enriched,1,1
PV_10,enriched,3,10
PV_11,enriched,3,11
PV_12,enriched,3,12
PV_13,enriched,4,13
PV_14,enriched,4,14
PV_15,enriched,4,15
PV_16,enriched,4,16
PV_17,control,5,17
PV_18,control,5,18
PV_19,control,5,19
PV_2,enriched,1,2
PV_20,control,5,20
PV_21,control,6,21
PV_22,control,6,22
PV_23,control,6,23
PV_24,control,6,24
PV_25,control,7,25
PV_26,control,7,26
PV_27,control,7,27
PV_28,control,7,28
PV_29,control,8,29
PV_3,enriched,1,3
PV_30,control,8,30
PV_31,control,8,31
PV_32,control,8,32
PV_4,enriched,1,4
PV_5,enriched,2,5
PV_6,enriched,2,6
PV_7,enriched,2,7
PV_8,enriched,2,8
PV_9,enriched,3,9
