gene_id,C17_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C18_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C19_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C20_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C21_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C22_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C23_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C24_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C25_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C26_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C27_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C28_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C29_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C30_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C31_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C32_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E10_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E11_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E12_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E13_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E14_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E15_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E16_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E1_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E2_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E3_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E4_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E5_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E6_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E7_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E8_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E9_R1_001.fastq.gz.sam.sorted.bam.merge.gtf
SymbC1.scaffold1950.8,0,12,0,7,48,0,20,0,14,32,28,8,0,0,0,23,0,0,0,8,28,47,11,0,11,6,15,0,13,23,32,11
SymbC1.scaffold16259.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1950.4,0,16,0,13,27,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,30,0,0,0,0,0,0,0,0,36,0
SymbC1.scaffold1950.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1950.6,0,0,8,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,11,0,6,0,0,9
SymbC1.scaffold4702.1,35,27,15,39,66,41,57,9,20,53,37,8,17,17,25,33,10,20,14,24,82,66,90,20,40,29,39,21,17,22,56,112
SymbC1.scaffold1950.3,4,7,0,9,12,9,4,0,0,24,0,0,0,0,18,9,0,0,0,0,15,53,7,0,11,0,18,0,0,12,59,13
SymbC1.scaffold1950.2,17,21,0,21,22,20,32,0,7,13,11,4,4,16,0,24,0,3,12,20,25,36,38,18,28,17,26,16,0,16,30,15
SymbC1.scaffold5817.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold5817.2,0,9,12,0,17,11,0,0,15,30,12,0,0,5,0,39,0,6,0,12,12,18,15,0,7,0,10,0,12,9,49,30
SymbC1.scaffold5817.1,16,33,7,13,42,26,18,0,0,13,15,0,12,0,22,20,0,21,0,15,33,42,12,0,16,26,10,19,10,0,28,24
SymbC1.scaffold32411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold21378.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1566.1,0,0,3,0,25,6,0,0,0,17,0,0,0,0,0,0,0,3,8,4,6,17,12,0,0,12,0,0,0,0,7,0
SymbC1.scaffold108.6,0,0,0,12,24,13,0,0,0,0,0,8,0,0,0,0,0,0,4,9,0,30,0,0,0,0,0,0,0,13,8,30
