,GO.ID,Term,numInCat,numDEI,num.expected.percent,classicFisher,ontology,direction,ParentTerm
1,GO:0098981,cholinergic synapse,21,3,0.19,0.00082,CC,Up,cholinergic synapse
2,GO:0005892,acetylcholine-gated channel complex,26,3,0.23,0.00155,CC,Up,acetylcholine-gated channel complex
3,GO:0098802,plasma membrane signaling receptor compl...,102,5,0.91,0.00217,CC,Up,acetylcholine-gated channel complex
4,GO:0016020,membrane,7380,82,65.72,0.00311,CC,Up,membrane
5,GO:0071944,cell periphery,4575,56,40.74,0.00333,CC,Up,cell periphery
6,GO:0032589,neuron projection membrane,72,4,0.64,0.00388,CC,Up,cell periphery
7,GO:0043235,receptor complex,287,8,2.56,0.00418,CC,Up,acetylcholine-gated channel complex
8,GO:0098590,plasma membrane region,1130,18,10.06,0.01141,CC,Up,cell periphery
9,GO:0005886,plasma membrane,3555,43,31.66,0.0156,CC,Up,cell periphery
10,GO:0005581,collagen trimer,61,3,0.54,0.01707,CC,Up,collagen trimer
11,GO:0031256,leading edge membrane,115,4,1.02,0.01946,CC,Up,cell periphery
12,GO:0097060,synaptic membrane,241,6,2.15,0.02088,CC,Up,cell periphery
13,GO:0098797,plasma membrane protein complex,382,8,3.4,0.02102,CC,Up,acetylcholine-gated channel complex
14,GO:0032590,dendrite membrane,27,2,0.24,0.02389,CC,Up,cell periphery
15,GO:0045211,postsynaptic membrane,127,4,1.13,0.02683,CC,Up,cell periphery
16,GO:0034702,monoatomic ion channel complex,194,5,1.73,0.02978,CC,Up,acetylcholine-gated channel complex
17,GO:0030054,cell junction,1866,24,16.62,0.04,CC,Up,cholinergic synapse
18,GO:0060417,yolk,5,1,0.04,0.04374,CC,Up,yolk
19,GO:0019005,SCF ubiquitin ligase complex,41,2,0.16,0.011,CC,Down,SCF ubiquitin ligase complex
20,GO:0031526,brush border membrane,50,2,0.19,0.016,CC,Down,brush border membrane
21,GO:0000151,ubiquitin ligase complex,271,4,1.05,0.021,CC,Down,SCF ubiquitin ligase complex
22,GO:0005776,autophagosome,69,2,0.27,0.03,CC,Down,autophagosome
23,GO:0031461,cullin-RING ubiquitin ligase complex,173,3,0.67,0.03,CC,Down,SCF ubiquitin ligase complex
24,GO:0016589,NURF complex,8,1,0.03,0.031,CC,Down,SCF ubiquitin ligase complex
25,GO:1990234,transferase complex,613,6,2.39,0.031,CC,Down,SCF ubiquitin ligase complex
26,GO:0005834,heterotrimeric G-protein complex,12,1,0.05,0.046,CC,Down,SCF ubiquitin ligase complex
27,GO:0035267,NuA4 histone acetyltransferase complex,13,1,0.05,0.049,CC,Down,SCF ubiquitin ligase complex
