"","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","E10","E11","E12","E13","E14","E15","E16","E1","E2","E3","E4","E5","E6","E7","E8","E9"
"Pver_g130",953,775,584,602,381,818,580,859,981,878,987,884,648,867,810,980,949,458,1003,757,607,633,757,562,659,582,512,400,369,564,611,728
"Pver_g7878",297,402,161,312,146,235,160,577,560,213,625,472,220,363,370,538,471,467,753,578,660,686,640,244,794,500,514,316,198,592,677,178
"Pver_g1842",154,180,200,267,172,250,173,187,215,297,196,187,102,307,313,261,369,246,487,351,165,252,230,344,304,223,339,230,329,437,414,458
"Pver_g23161",337,155,130,167,125,137,97,89,210,54,55,247,68,128,65,97,110,60,487,81,409,153,333,983,465,435,189,580,417,101,280,341
"Pver_g26469",984,603,1584,1112,371,310,449,1052,1044,835,844,715,776,669,650,1231,762,842,1429,919,596,1153,1447,5261,992,16033,3810,3274,8346,1062,1714,686
"Pver_g7972",906,732,769,538,317,617,463,151,1053,920,644,417,378,463,405,865,746,891,649,1081,895,572,1217,1168,1521,709,695,480,735,710,956,1203
"Pver_g25888",238,441,276,477,207,338,345,526,542,209,430,433,258,436,314,468,375,121,503,355,195,276,271,104,233,203,107,83,84,391,189,391
"Pver_g26149",1075,830,1198,895,685,1074,707,1061,1766,889,1000,1157,745,1309,1001,1295,1487,797,1474,1303,1237,1255,1632,991,1245,1032,951,810,1138,1136,929,1500
"Pver_g6161",1528,532,2627,1414,222,616,667,881,1146,1423,1528,1063,1933,519,2021,1097,634,1033,1304,1194,636,925,898,18801,1445,5601,1616,9391,8272,779,1979,366
"Pver_g1594",2619,2422,3668,2766,1829,2350,2057,1555,2169,2319,2587,1800,1612,2918,3225,3181,4383,1622,3149,4070,3466,1834,3378,6492,3917,7274,3652,4998,7663,2261,3999,4803
"Pver_g82",97,104,71,120,40,226,95,179,371,99,136,266,78,142,131,218,308,176,366,204,181,121,384,194,241,274,130,91,260,169,186,159
"Pver_g25926",531,372,935,697,330,536,436,480,705,789,948,466,1285,850,830,561,665,605,1057,646,600,652,619,4151,1076,4444,1894,2845,5483,1142,930,749
"Pver_g5715",388,89,276,173,116,202,85,434,282,238,226,298,272,338,196,273,2038,967,1804,1472,1518,1974,1550,1992,1490,610,859,708,476,1398,1376,1503
"Pver_g5714",79,21,28,31,16,59,11,101,78,52,59,130,27,120,85,70,190,136,100,91,152,168,221,79,175,82,63,61,96,84,109,166
"Pver_g5713",108,31,116,80,71,143,59,177,283,88,140,342,73,204,155,224,418,269,350,234,333,309,410,259,214,142,196,149,245,174,194,308
"Pver_g4609",5804,4663,3706,4240,3196,5635,4165,5678,7613,5443,5657,5990,4626,6332,4324,7216,6494,3439,5729,5314,4673,4784,5624,3449,4753,3317,3154,2368,2304,4846,4010,4640
"Pver_g20439",89,62,49,116,45,30,726,33,135,46,82,69,61,57,69,59,89,132,126,87,42,800,1645,1454,43,116,801,39,56,103,31,139
"Pver_g13706",6221,5440,14625,4041,1636,3990,3303,3677,4334,4053,4321,3667,4138,4027,6388,4691,4370,3346,5909,5948,3512,2651,5276,40292,8223,20319,19692,17174,32770,7037,8706,4595
"Pver_g916",526,289,467,450,271,605,330,472,743,431,535,575,399,456,298,595,566,301,455,482,383,472,542,334,427,261,168,149,235,356,251,275
"Pver_g7459",5664,4989,4759,4723,2472,5522,4424,4651,6068,5079,5031,5648,3766,5174,5322,6221,7334,4161,7200,8062,5621,4147,6236,6453,7182,5603,4194,3458,6061,5958,6146,7193
"Pver_g19051",43,31,1807,100,250,53,41,784,868,9,50,75,33,25,8,40,24,57,26,22,11,9,2454,14,32,26,35,10,847,35,4,25
"Pver_g9266",50,121,53,87,33,60,41,48,120,30,80,160,39,33,48,158,204,119,56,58,54,36,130,221,138,161,242,108,140,151,162,46
"Pver_g19527",1634,1361,1269,1437,522,1726,1313,752,1971,732,7567,794,973,1110,422,2269,970,2507,1388,10666,19484,3458,1976,879,3990,8186,1597,5570,1455,2261,1909,1145
"Pver_g15382",794,899,646,814,655,995,712,1012,1359,979,1083,1157,769,1397,883,1352,1319,635,1100,1005,702,813,847,720,855,681,740,547,497,702,691,1004
"Pver_g16771",91,121,122,1007,30,33,84,333,357,935,13,145,143,1139,73,111,204,52,92,50,93,174,36,77,124,50,94,49,83,47,109,55
"Pver_g11517",2660,2732,3510,1022,95,136,142,1142,632,646,1214,1274,704,389,1941,300,1135,1006,1160,930,631,685,913,17609,1169,5092,8187,6940,7406,374,2323,218
"Pver_g8523",2182,1866,1500,1685,2094,2956,3554,2290,2271,2141,1120,1687,1814,3933,2030,2646,2010,1044,2104,1905,792,2007,2103,575,2073,945,1718,591,689,1117,1290,2597
"Pver_g26232",1033,625,1302,849,312,844,245,334,337,1106,811,297,1740,427,2093,1411,328,1311,619,1518,962,560,820,3869,1134,4558,3783,3944,4933,806,2334,800
"Pver_g12577",1232,1239,998,1026,701,1090,829,1091,1551,1255,1278,1151,729,1358,1092,1406,1917,906,1883,1544,1651,1273,1675,1217,1567,1205,844,864,1023,1155,1138,1738
"Pver_g6289",2122,2369,1393,2208,1951,3456,2788,2298,5230,2828,3701,3585,2466,2712,2060,3528,1193,649,1070,1558,1227,1704,1856,510,871,744,754,604,398,1296,1037,1391
"Pver_g23053",5564,3664,5717,4352,2354,4093,2646,3954,5719,4332,5841,5071,3577,5994,4454,4543,5471,3410,6826,5203,4735,4268,5685,7614,6483,6765,4782,5642,7611,4761,4570,5218
"Pver_g71",3391,2914,2171,2415,1755,3805,2325,3428,3340,3031,2670,3246,2583,3178,2613,3184,3802,1616,3746,3442,2283,2612,2924,2173,2358,1934,1737,1215,1549,2278,1877,3058
"Pver_g11124",3380,2431,1930,2133,1544,3118,2343,3487,4051,2961,3758,3507,2337,2694,2229,3523,3136,1518,3504,2788,2543,2753,3398,1876,2196,1500,1456,954,950,2331,2078,2447
"Pver_g11126",46,216,159,281,79,45,67,36,140,92,344,129,21,78,76,122,53,297,192,263,122,370,182,168,388,595,108,198,465,199,467,75
"Pver_g3620",779,547,408,621,386,663,488,682,778,479,635,589,452,703,523,825,711,353,690,660,529,451,636,377,507,364,323,273,263,344,443,643
"Pver_g4013",441,357,322,379,277,579,473,483,709,525,350,602,331,631,387,543,546,136,575,418,368,350,531,204,343,208,166,69,131,243,220,392
"Pver_g4016",6273,7664,8455,8603,3317,4489,4230,3617,4971,6775,4549,3329,4279,5756,8325,6548,7700,4008,7989,9272,5104,4567,6890,18471,10666,16764,11151,11708,25432,6104,9903,10701
"Pver_g7920",198,184,156,142,73,166,97,124,284,136,261,238,228,149,159,386,184,219,305,259,225,186,278,330,350,339,124,301,232,363,308,126
"Pver_g7929",1186,728,922,870,490,1147,607,1043,1377,889,1353,1076,644,998,983,1250,1203,456,1139,1014,837,807,909,635,1024,473,433,412,530,740,515,778
"Pver_g12312",443,369,1276,631,127,102,159,42,137,498,293,37,149,181,614,374,273,211,484,360,313,257,275,2012,669,3191,2543,2183,2164,200,818,422
"Pver_g16605",868,288,1863,395,104,156,74,148,129,464,302,120,468,176,536,392,254,575,213,144,163,167,233,8122,536,2580,4156,3936,5067,300,1401,199
"Pver_g18735",877,1622,624,1109,1173,1103,1427,1135,2190,580,1200,746,400,1261,1278,1054,2255,608,1737,2702,1337,1261,2292,1686,2015,1520,1267,933,1906,1305,1981,2974
"Pver_g26142",222,182,236,235,270,275,176,177,320,316,295,280,104,415,312,301,415,261,386,405,250,296,333,401,416,407,300,426,486,196,340,577
"Pver_g6070",1164,1457,995,1537,929,1285,1501,1082,1367,1296,1011,1034,878,1678,1609,1628,2979,850,1719,2208,1362,1275,1848,2650,1740,3073,1558,1924,4044,1218,1833,2957
"Pver_g2043",632,419,387,610,221,802,559,698,963,625,582,772,593,693,485,801,615,375,481,361,318,558,503,285,348,383,340,260,197,521,581,417
"Pver_g12076",28,32,40,41,22,26,12,13,64,25,29,40,26,31,28,52,109,32,41,63,44,92,54,40,60,32,58,22,18,51,69,50
"Pver_g3259",131,6,36,63,31,20,30,14,129,28,434,372,78,93,50,0,17,0,72,10,18,35,41,35,40,0,14,24,13,19,22,9
"Pver_g19246",3635,4306,4204,3532,2694,3452,2496,2849,4887,3349,3734,4158,2881,4713,3432,4531,3785,3696,5499,3685,3200,4620,4518,5280,5253,5201,5385,3527,5858,5164,3766,6396
"Pver_g17354",40,86,43,32,199,599,4,26,17,73,6,64,165,573,3,780,77,7,6,6,12,0,94,38,47,7,1,0,6,827,0,0
