"","gene_id","GO.term","Function"
"1","Pver_g7166","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"2","Pver_g11748","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"3","Pver_g11749","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"4","Pver_g14589","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"5","Pver_g14810","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"6","Pver_g14862","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"7","Pver_g15169","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"8","Pver_g15783","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"9","Pver_g15784","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"10","Pver_g16737","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"11","Pver_g22809","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"12","Pver_novel_751_5de57afd","1-acylglycerol-3-phosphate O-acyltransferase activity","Nutrient metabolism"
"13","Pver_g502","Alcohol dehydrogenase activity","Nutrient metabolism"
"14","Pver_g1400","Alcohol dehydrogenase activity","Nutrient metabolism"
"15","Pver_g10869","Alcohol dehydrogenase activity","Nutrient metabolism"
"16","Pver_g14476","Alcohol dehydrogenase activity","Nutrient metabolism"
"17","Pver_g15015","Alcohol dehydrogenase activity","Nutrient metabolism"
"18","Pver_g23869","Alcohol dehydrogenase activity","Nutrient metabolism"
"19","Pver_g24575","Alcohol dehydrogenase activity","Nutrient metabolism"
"20","Pver_g25184","Alcohol dehydrogenase activity","Nutrient metabolism"
"21","Pver_g207","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"22","Pver_g1141","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"23","Pver_g1142","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"24","Pver_g2167","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"25","Pver_g2431","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"26","Pver_g2432","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"27","Pver_g6029","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"28","Pver_g6030","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"29","Pver_g6292","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"30","Pver_g6846","Amine transport","Symbiotic nutrient exchange and signaling pathways"
