"","gene_id","pval.treatment"
"20","Pver_gene_g130",0.0185731371919987
"26","Pver_gene_novel_gene_203_5de57afd",0.0132068385218725
"29","Pver_gene_g3374",0.0471828684840152
"31","Pver_gene_g3372",0.00180358868098561
"32","Pver_gene_g3371",0.0290146157953574
"33","Pver_gene_g3370",0.0105964091831448
"36","Pver_gene_g7874",0.00478891885170865
"37","Pver_gene_g7875",0.00179817742778458
"38","Pver_gene_g7876",0.028973869385412
"39","Pver_gene_g7877",0.00153018373343106
"40","Pver_gene_g7870",0.00504275529461391
"41","Pver_gene_g7871",0.0109046915868095
"42","Pver_gene_g7872",0.000223347063714142
"43","Pver_gene_g7873",0.0105069514055054
"44","Pver_gene_g7878",0.000173739148013272
"45","Pver_gene_g7879",0.0248926920789266
"46","Pver_gene_g6473",0.0380908710232769
"49","Pver_gene_g6470",0.0342304571514795
"57","Pver_gene_g8495",0.044117744569861
"73","Pver_gene_g1842",0.0001674815650384
"74","Pver_gene_g1841",0.00930070269099075
"77","Pver_gene_g1268",0.0233985792199618
"80","Pver_gene_g1265",0.0123401416753519
"104","Pver_gene_g2760",0.0012600188319774
"116","Pver_gene_g2183",0.0129206702715209
"125","Pver_gene_g83",0.00382148840884604
"134","Pver_gene_g12531",3.08383268009273e-05
"139","Pver_gene_g10868",0.000226609353856762
"146","Pver_gene_g10864",0.000677808419251891
"156","Pver_gene_g14195",0.0154377874616262
"158","Pver_gene_g11115",0.00340111808441962
"210","Pver_gene_g8912",0.00201949351509784
"246","Pver_gene_g4021",0.00952982125407765
"269","Pver_gene_g17239",0.00291930606042045
"274","Pver_gene_g5371",0.0354804867170732
"297","Pver_gene_g5087",0.0187147885448431
"300","Pver_gene_g5084",3.49022217074727e-05
"301","Pver_gene_g23161",8.17824210780703e-05
"307","Pver_gene_g23295",0.00246783843709374
"308","Pver_gene_g26666",0.0188354276055992
"309","Pver_gene_g23293",0.000746871718005536
"328","Pver_gene_g2531",0.0319887789525891
"340","Pver_gene_g21470",0.0309221815068053
"346","Pver_gene_g416",0.0390225306797933
"347","Pver_gene_g410",0.0260141493547808
"348","Pver_gene_g411",0.045475842063154
"357","Pver_gene_g11092",0.0023526056198843
"360","Pver_gene_g11099",0.0248429609889371
"396","Pver_gene_g13781",0.0250267618625342
"420","Pver_gene_g7159",0.0400128750884507
"444","Pver_gene_g1412",0.0374842344709534
"447","Pver_gene_g1415",0.0380416499198854
"470","Pver_gene_g26465",0.0120648170444853
"475","Pver_gene_g26469",0.021585593347444
"479","Pver_gene_g8898",1.95986839773598e-05
"480","Pver_gene_g8896",0.000410376119225215
"481","Pver_gene_g8895",0.00566215972560955
"492","Pver_gene_g7972",0.0037809190382676
"497","Pver_gene_g24820",0.015602116509054
"517","Pver_gene_g25886",0.00965401692517523
"523","Pver_gene_g6369",0.029694408600162
