"","E1","E10","E11","E12","E13","E14","E15","E16","C17","C18","C19","E2","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","E3","C30","C31","C32","E4","E5","E6","E7","E8","E9"
"Pver_g130",530,844,460,928,663,652,608,839,860,862,628,611,658,405,734,635,805,923,815,928,802,613,647,796,840,867,539,361,431,593,679,622
"Pver_g7878",198,408,493,658,488,728,650,699,247,413,192,695,315,140,204,150,498,471,182,588,399,197,512,321,386,458,547,282,201,659,702,152
"Pver_g1842",310,382,253,471,313,153,257,244,158,175,223,242,295,185,242,159,166,209,251,193,163,100,234,306,330,229,357,214,381,461,475,434
"Pver_g23161",871,95,66,415,78,410,119,313,297,161,147,439,172,124,124,116,84,189,32,55,226,50,463,96,79,85,183,511,434,137,280,288
"Pver_g26469",4605,676,845,1309,815,601,1021,1472,900,613,1639,858,1172,351,301,422,938,963,718,741,680,686,16551,609,669,1077,4002,2890,8736,1116,1798,640
"Pver_g25888",98,316,133,459,320,205,274,313,207,464,290,212,518,206,302,397,446,498,202,394,407,223,251,365,360,433,120,65,79,428,202,331
"Pver_g26149",912,1383,817,1316,1196,1280,1120,1741,908,870,1259,1188,905,732,998,748,977,1651,796,881,1115,651,1037,1133,989,1159,968,696,1260,1178,941,1386
"Pver_g6161",17060,607,1094,1175,1073,671,874,977,1393,562,2720,1300,1421,257,571,759,770,1034,1372,1440,969,1718,5878,470,2145,1028,1647,8449,8905,842,2083,287
"Pver_g1594",5850,3947,1736,2855,3757,3715,1669,3677,2394,2671,3993,3478,2963,2018,2135,2282,1414,1957,2023,2323,1539,1437,8113,2657,3480,3007,3987,4592,8552,2377,4422,4422
"Pver_g82",167,294,200,336,193,198,115,412,88,101,72,213,131,49,186,106,149,311,86,132,227,75,300,133,148,188,136,77,284,191,202,131
"Pver_g25926",3533,578,624,869,562,648,549,652,447,357,916,945,719,304,482,435,414,627,685,810,397,1135,4387,747,817,505,1922,2460,5528,1078,928,658
"Pver_g4443",92,32,29,65,77,40,18,70,86,43,77,41,40,41,24,43,60,70,149,110,152,61,14,154,86,71,34,17,14,36,42,38
"Pver_g5715",1709,1850,976,1637,1293,1532,1737,1650,344,87,311,1382,186,117,179,87,367,241,209,185,253,243,617,282,192,260,913,632,528,1467,1487,1391
"Pver_g5714",72,180,143,83,72,165,159,232,73,22,28,154,40,8,48,16,103,64,53,56,136,23,78,112,92,54,54,65,110,101,124,154
"Pver_g5713",244,394,304,303,234,358,294,476,107,36,117,198,92,74,125,59,156,267,75,139,309,75,149,198,164,205,218,130,305,195,219,273
"Pver_g4609",3234,6021,3628,5380,4896,4906,4440,6086,5455,5009,3954,4272,4471,3308,5232,4416,5148,6949,4978,5136,5429,4263,3618,5890,4520,6643,3297,2127,2422,5124,4323,4237
"Pver_g20439",1251,19,81,51,20,0,748,1670,12,43,30,0,126,21,0,772,6,72,15,33,15,37,40,10,8,55,858,0,0,49,6,107
"Pver_g26422",84,156,92,105,87,94,174,100,134,161,111,91,170,80,194,141,129,186,162,197,97,81,62,221,92,172,67,45,42,47,100,95
"Pver_g13706",36683,3922,3530,5429,5429,3799,2482,5683,5640,5853,15471,7466,4302,1754,3655,3525,3309,3933,3635,4001,3445,3719,21684,3604,6738,4219,20689,15523,35711,7406,9649,4207
"Pver_g916",313,516,340,424,415,404,443,585,496,350,515,408,507,306,595,344,435,637,403,470,573,377,305,419,313,530,184,151,247,394,271,257
"Pver_g7459",5787,6761,4417,6613,7495,6016,3773,6813,5156,5447,5147,6509,4985,2591,5109,4759,4261,5586,4622,4810,5189,3450,6171,4853,5729,5667,4449,3202,6630,6440,6671,6398
"Pver_g9266",199,204,136,44,41,54,53,129,33,125,49,110,95,32,40,29,56,124,29,74,147,31,173,34,45,139,282,95,138,164,161,54
"Pver_g19527",732,841,2276,1164,8710,17008,2845,1912,1384,1412,1237,3268,1321,552,1343,1270,600,1678,637,6357,673,808,8009,968,404,1811,1607,4534,1471,2255,1812,1090
"Pver_g16771",43,183,49,89,43,94,160,40,86,117,139,119,1047,24,36,112,284,323,722,0,113,122,61,1054,65,111,77,53,93,50,101,45
"Pver_g26232",3440,271,1389,550,1337,1004,515,917,959,660,1385,982,880,315,740,261,298,271,936,776,239,1542,5002,379,2229,1215,3939,3556,5323,905,2619,703
"Pver_g18486",444,1091,575,768,940,761,755,994,807,920,1062,676,730,500,843,731,678,1825,869,986,859,660,772,1110,729,1147,495,345,470,872,837,711
"Pver_g12577",1096,1772,948,1701,1374,1763,1124,1821,1121,1356,1046,1450,1058,759,1024,869,1007,1463,1131,1082,1014,675,1285,1225,1167,1162,925,747,1084,1211,1200,1531
"Pver_g6289",452,1094,667,983,1438,1324,1596,1979,1981,2504,1434,833,2297,2088,3125,2924,2066,4748,2567,3431,3259,2252,761,2513,2207,3278,786,515,449,1401,1134,1308
"Pver_g11124",1719,2788,1599,3231,2488,2701,2554,3638,3032,2679,2083,2092,2359,1644,2789,2517,3177,3622,2670,3375,3239,2156,1639,2482,2348,3262,1543,875,1038,2549,2305,2175
"Pver_g11126",141,42,316,179,248,130,359,181,44,230,165,351,292,84,29,67,37,111,83,305,130,18,629,74,90,105,127,186,511,231,535,66
"Pver_g606",293,734,405,522,516,549,519,643,839,447,466,378,568,285,699,501,578,722,560,583,634,475,427,765,562,649,485,254,365,480,357,411
"Pver_g3620",355,692,389,677,580,603,444,709,744,607,442,440,672,428,629,560,661,697,453,617,536,402,427,649,551,724,352,235,300,413,484,609
"Pver_g4013",174,515,141,467,388,391,332,579,433,399,352,314,412,307,530,536,445,636,456,301,531,323,233,578,399,532,150,53,133,280,242,361
"Pver_g4016",16811,7131,4188,7387,8654,5451,4139,7502,5782,8200,9086,9725,9217,3500,4101,4604,3291,4390,6037,4163,2914,3837,18314,5150,8878,5939,11798,10608,27558,6564,10825,9602
"Pver_g7929",556,1069,428,1025,883,879,758,941,1084,763,921,923,919,473,1028,675,943,1230,786,1168,964,563,533,894,989,1134,465,393,562,749,568,708
"Pver_g12312",1785,239,200,422,320,318,216,271,378,406,1299,616,579,114,101,161,36,117,448,249,33,135,3262,160,614,323,2597,1913,2286,198,850,351
"Pver_g187",183,435,195,230,273,229,265,235,307,321,214,213,174,192,268,297,262,435,259,314,341,239,152,352,258,392,166,108,158,270,218,235
"Pver_g16605",7381,226,634,200,130,188,140,237,765,334,2028,442,434,97,155,97,135,135,429,298,103,443,2905,166,573,344,4632,3401,5558,308,1592,179
"Pver_g18735",1481,2062,632,1610,2455,1384,1136,2479,801,1747,677,1765,1139,1245,977,1511,1005,1993,542,1154,695,354,1683,1151,1342,1025,1342,912,2040,1394,2213,2643
"Pver_g26142",360,351,260,351,370,261,275,344,211,192,261,393,252,283,249,169,167,289,297,239,254,86,449,375,337,277,308,400,556,222,402,458
"Pver_g6070",2336,2730,908,1590,2078,1527,1187,1992,1052,1518,1082,1664,1677,1053,1189,1637,1037,1226,1203,895,924,840,3388,1508,1765,1550,1696,1718,4487,1364,2051,2763
"Pver_g2043",254,534,406,439,347,337,488,533,548,427,411,314,660,227,741,587,603,916,591,534,705,527,412,616,499,704,366,227,213,567,591,369
"Pver_g3259",32,20,0,80,8,20,23,43,126,5,43,35,51,28,9,33,11,99,24,427,359,54,0,80,49,5,14,17,16,20,26,9
