"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pver_g289",1182.86709656244,0.0148118977541472,0.100323811699282,0.147640899037465,0.882626176022758,0.962215197892809
"Pver_g288",1239.83150312118,-0.19076794434752,0.0857138308848457,-2.22563782738648,0.0260384502932549,0.242557779478285
"Pver_g285",1465.22170731957,-0.202658239064434,0.113180775086332,-1.79057122474952,0.0733621281189657,0.382121709744657
"Pver_g284",1695.3299398382,-0.234754315193904,0.108488128138314,-2.16387100802966,0.0304742505484116,0.262283683373789
"Pver_g287",3853.1681971873,-0.0181066920977472,0.0797596390967698,-0.227015722523255,0.820411516513054,0.939991238677427
"Pver_g286",2870.21297455303,0.157636944244323,0.155856257995002,1.01142518287189,0.311812973223789,0.672896408648621
"Pver_g281",2461.18344400447,0.0385193887516014,0.0844976972415347,0.45586317744843,0.648488369938206,0.874646404884505
"Pver_g280",673.724928537481,-0.181348483426838,0.104721796377134,-1.73171669796179,0.0833240161150601,0.40220620399878
"Pver_g283",1377.44583435281,-0.0750143121240706,0.0810788291110303,-0.925202213038192,0.354860732575287,0.708279713002828
"Pver_g282",1528.71046758971,0.0835687922495616,0.105567046372503,0.791618171779489,0.428583347969677,0.760539151888569
"Pver_g11072",588.533974060724,-0.0735902596665987,0.273371848471312,-0.26919472534613,0.787779839073812,0.929339168711719
"Pver_g21180",177.460639590195,0.0121972733624253,0.361285468124433,0.0337607638240914,0.97306792402911,0.992798382564104
"Pver_g137",1190.66243267317,-0.117107302602445,0.0979105795756971,-1.19606382793298,0.231671651958326,0.599923206929953
"Pver_g136",729.202424344648,-0.0503602829150199,0.0791043679649947,-0.636630874003131,0.524365309844905,0.816894901459125
"Pver_g135",115.802587238318,-0.0892517054398003,0.198173885460784,-0.450370669335553,0.652443190292165,0.877077723342903
"Pver_g134",1283.64298414338,0.00830358190148445,0.0916812801875461,0.0905700911298182,0.927834198050842,0.978216120028085
"Pver_g133",1124.90782022321,-0.00817653610258545,0.0841251791628845,-0.0971948729732142,0.922571639544023,0.97626011426829
"Pver_g132",3325.92830611715,0.107861282069328,0.116365515311329,0.92691792564791,0.353969149344763,0.707524938634199
"Pver_g131",2733.17392567005,1.16743416865587,0.465819842909366,2.50619243990218,0.0122039178545124,0.176892995886914
"Pver_g130",685.661774208878,-0.264916152454256,0.0578739348034412,-4.57746917250396,4.70635118771252e-06,0.00325400607304509
"Pver_g11076",1161.42410423155,-0.0427144929523798,0.0456983686202567,-0.934704984926876,0.349940357195152,0.705356519722161
"Pver_g139",14425.0827131215,-0.0388806932844118,0.0554051224741764,-0.701752681848752,0.482833412576706,0.794423950818081
"Pver_g138",2515.42144913386,-0.0705937797208696,0.0615209225307315,-1.14747596129765,0.251184962622688,0.619926081734578
"Pver_novel_418_5de57afd",270.509890260652,-0.226442283911521,0.21863551425501,-1.035706777479,0.300338959521722,0.663518070574142
"Pver_novel_39_5de57afd",208.496016448405,-0.322419755622866,0.258727497078599,-1.24617506551658,0.212700131037819,0.580464276200723
"Pver_novel_203_5de57afd",83.1315303628578,-0.466297542437892,0.158967242252218,-2.93329327370518,0.0033538692089763,0.105760186474948
"Pver_g3376",1118.90758718647,-0.079984854819052,0.085862203288271,-0.931549060656101,0.35156961891687,0.706850771062041
"Pver_g3375",14619.8217970862,0.236116108600831,0.149040187835625,1.58424457208308,0.113138073830401,0.455971839867427
"Pver_g3374",1113.93975347794,0.564181192188672,0.178597345478569,3.15895620215906,0.00158335283414902,0.0754031395609536
"Pver_g3373",2109.1230011037,0.151345091508359,0.164516571073161,0.919938280509481,0.357605013059217,0.710944662810379
"Pver_g3372",537.385317044908,0.666348796603492,0.257195149703244,2.59082956024768,0.00957448978524155,0.160734330315548
"Pver_g3371",62.6429470879403,0.742808840322005,0.421079324996387,1.76405915994185,0.0777220194320396,0.39266973173405
"Pver_g3370",2060.7666666639,-0.250507201657195,0.172182072450164,-1.45489712193876,0.145697744725886,0.5008078578414
"Pver_g3379",843.27405001939,-0.0847437120302229,0.0757524671194232,-1.11869243673114,0.263271372909474,0.632854750125427
"Pver_g3378",1541.49867244336,-0.0682128067035013,0.0816110623437171,-0.835827947150264,0.403251701823224,0.742250322385718
"Pver_g7874",862.360090116322,0.543610414097883,0.175293386552741,3.10114616865095,0.00192773106519664,0.0824468989199379
"Pver_g7875",852.784850395871,0.466084481385448,0.187336727941704,2.48795036886992,0.0128481661717182,0.180067241812038
"Pver_g7876",1272.74519472591,0.443094941949954,0.184705578275408,2.39892560954099,0.0164432548734551,0.201419082662507
"Pver_g7877",797.648138470615,0.600478386722629,0.185861344480231,3.23078684490254,0.00123449965097436,0.0671884533072579
"Pver_g7870",1091.31534260777,0.34379086209639,0.185544063997329,1.85287987494626,0.0638995782629524,0.36007232361712
"Pver_g7871",324.462652448296,0.620911510209457,0.287758729640602,2.15775038687774,0.0309472441235358,0.264525253341652
"Pver_g7872",482.986364074404,0.71427304013727,0.271308990590197,2.63269211456452,0.00847110995740981,0.151946750657321
"Pver_g7873",514.596351064871,0.459385155298326,0.184745418554372,2.48658483059013,0.0128975816137975,0.18048879577689
"Pver_g7878",422.119980969208,0.65857398008065,0.19279553120445,3.41591932119144,0.000635670772396965,0.048634024504535
"Pver_g7879",6394.17216056519,0.181362071184897,0.0892183657605312,2.03278853674239,0.0420738917690958,0.299448231806615
"Pver_g6473",843.971849624695,0.392027756186579,0.140285594567561,2.79449759182352,0.00519804279261804,0.122676438498854
"Pver_g6472",43.512662583461,0.572464263353189,0.203794802331529,2.80902288382173,0.00496921142813411,0.120162226606745
"Pver_g6471",351.021400590118,0.286377764527069,0.217361467069032,1.31751854819841,0.187664867933546,0.55569278980872
"Pver_g6470",27.7372564612702,0.417687130689148,0.440430572442933,0.948360892324903,0.342945761324232,NA
"Pver_g6477",9839.80956338348,0.0676503471867523,0.0429086771937726,1.57661227544368,0.114884766475235,0.458752688889771
"Pver_g6476",3013.21932045354,0.0438147122268435,0.0741224520445132,0.591112557913372,0.554445006215587,0.832024065597474
"Pver_g6475",6957.37199276987,0.0550468780568647,0.123806024728186,0.444621965511929,0.65659297093826,0.878972935207991
"Pver_g6474",2017.28541925533,0.00688782616226798,0.134148588820432,0.051344753029701,0.959050807350636,0.987506726546513
"Pver_g6479",550.140889213448,-0.0344015987530767,0.104025372545495,-0.33070392262264,0.740868139048668,0.912424226135409
"Pver_g8493",42.0240525118992,0.337892058837742,0.266217348036436,1.26923380962948,0.204357685844314,0.572385488273316
"Pver_g8491",1094.66183431716,0.0589752676003993,0.085934886394904,0.686278531042505,0.492537484532595,0.800206398654657
"Pver_g8497",21.8019450082372,-0.117237571945254,0.612495600192641,-0.191409655691208,0.848204655776839,NA
"Pver_g8495",1172.10979869943,-0.199420925964166,0.162508708980269,-1.22713993124134,0.219770001787324,0.587690358597015
"Pver_g8499",53.5437085895869,0.640155035910431,0.243431349818598,2.62971485138405,0.00854565136013655,0.152078379019093
"Pver_g8498",15.1028756915372,0.187201267934828,0.637385621694033,0.293701742811969,0.768985822448096,NA
"Pver_g24669",111.059980026336,-0.394926349666158,0.657594590417715,-0.600562041447595,0.548131726593906,0.828797944661159
"Pver_g24667",272.426934861667,0.672496540053676,0.728928593812562,0.922582192223073,0.356224979355379,0.70974789491163
"Pver_g24662",110.565342472493,-0.0702491748080419,0.123991946814524,-0.566562398710665,0.571011527595272,0.840280277869127
"Pver_g22625",189.481490818625,-0.256516750760114,0.253509072999603,-1.01186418192029,0.311602997187511,0.672896408648621
"Pver_g22627",92.2449184621297,-0.0886938401431457,0.188697663638907,-0.470031469562183,0.638332534282216,0.870780447652242
"Pver_g8728",584.871121718096,-0.1498544888098,0.127298024746704,-1.17719414034883,0.239118026919275,0.607963561677848
"Pver_g8725",8174.14227029217,0.170155087707718,0.105775386026656,1.60864539567682,0.107693901948868,0.447775584357355
"Pver_g8724",77162.8458920801,-0.0849402441892454,0.156651103288365,-0.542225636501816,0.58766307660942,0.848006908132329
"Pver_g8727",2830.39834920995,0.00643755614407638,0.0493364377422937,0.130482792002589,0.896184467737237,0.967806608491396
"Pver_g8726",17763.2006254317,0.0630831055530111,0.0488354346412624,1.29174862507951,0.196444212167926,0.563927503114078
"Pver_g22629",53.9620286254466,0.776239157623185,0.562810634416574,1.37921906615687,0.167827221270003,0.5308980719724
"Pver_g8720",378.379279895649,0.0865447669363706,0.277861000624802,0.31146784450414,0.755444984347074,0.916238015097189
"Pver_g8723",431.556729560849,-0.29231926626828,0.220299550262157,-1.32691721758133,0.184536068195524,0.551935239917122
"Pver_g1849",88.4284692101166,0.151488242321017,0.171635206432495,0.882617532088897,0.377442952760251,0.723796799780105
"Pver_g1848",41.1755256031236,-0.0474097529413285,0.272318501722108,-0.174096701625175,0.861789465338831,0.954767828229514
"Pver_g1843",412.560590144502,-0.188471490539385,0.127596888700677,-1.47708531499942,0.139652769440147,0.492730655813393
"Pver_g1842",269.072966314843,0.636483232528983,0.153242234448306,4.15344526148692,3.27506583453431e-05,0.00970459190461692
"Pver_g1841",34.9239011711329,-0.995577499374338,0.414126885829841,-2.40403976037288,0.0162150095686916,0.200597613405126
"Pver_g1847",17.5678338898039,-0.80225122523107,0.28727724650104,-2.79260273830342,0.00522858608865788,NA
"Pver_g1844",1272.5326610783,0.0381518443698133,0.0639067066384853,0.596992809935192,0.550512181042131,0.829992036479931
"Pver_g1269",434.529177136443,-0.143951938588641,0.111673017047925,-1.28904853109559,0.197381215149693,0.564867454181708
"Pver_g1268",8896.37058790952,0.19447367409233,0.153033973094276,1.27078759154038,0.203804224284845,0.571746809213093
"Pver_g1267",37444.0547549759,0.0351020094125946,0.0833983270608804,0.420895845871948,0.673831138771573,0.887137032589165
"Pver_g1266",120.826228312969,-0.163343222111537,0.194723058721246,-0.838848892289486,0.401554110357555,0.741465097146867
"Pver_g1265",4103.86052500848,0.315046396426683,0.103666298838321,3.03904354604223,0.00237330546662529,0.0909750851149094
"Pver_g1264",4316.20393957074,-0.143975706256069,0.235096439042397,-0.612411259151843,0.540265694379318,0.825119843370107
"Pver_g1263",800.533815794875,-0.243735916020556,0.225868885922668,-1.07910354728542,0.28054157009805,0.646961090869723
"Pver_g1261",8248.39521880468,0.27596005453422,0.15183040429001,1.81755463159481,0.0691322311505809,0.372747172236542
"Pver_g1260",671.957860404967,0.220620935571991,0.172115808264341,1.28181680577041,0.19990691738788,0.567605097016283
"Pver_g9459",18.3943368185612,0.412750241857204,0.428287798343292,0.963721692408258,0.335185475700345,NA
"Pver_g9455",150.460389340874,0.122865921166886,0.29231764773599,0.42031646778252,0.674254281327921,0.887137032589165
