"","gene_id","pval.treatment"
"20","Pver_gene_g130",0.0185731403826451
"26","Pver_gene_novel_gene_203_5de57afd",0.0132068527610894
"29","Pver_gene_g3374",0.0471826619202963
"31","Pver_gene_g3372",0.00180360250760422
"32","Pver_gene_g3371",0.0290142056675781
"33","Pver_gene_g3370",0.0105979152627792
"36","Pver_gene_g7874",0.00478894313635974
"37","Pver_gene_g7875",0.00179816659754336
"38","Pver_gene_g7876",0.0289737182123369
"39","Pver_gene_g7877",0.00153017025689132
"40","Pver_gene_g7870",0.00504274948924042
"41","Pver_gene_g7871",0.0109047569597251
"42","Pver_gene_g7872",0.000223339263443271
"43","Pver_gene_g7873",0.0105069651604521
"44","Pver_gene_g7878",0.000173739942895325
"45","Pver_gene_g7879",0.0248929643043981
"46","Pver_gene_g6473",0.0380907583098396
"49","Pver_gene_g6470",0.0342304794335776
"57","Pver_gene_g8495",0.0441177645409698
"73","Pver_gene_g1842",0.000167481678696233
"74","Pver_gene_g1841",0.00930065587169136
"77","Pver_gene_g1268",0.023399245067528
"80","Pver_gene_g1265",0.0123401416799039
"104","Pver_gene_g2760",0.00126002016618198
"116","Pver_gene_g2183",0.0129206639447372
"125","Pver_gene_g83",0.00382149523315346
"134","Pver_gene_g12531",3.08378863793755e-05
"139","Pver_gene_g10868",0.000226602178108535
"146","Pver_gene_g10864",0.000677821932498788
"156","Pver_gene_g14195",0.0154379711314618
"158","Pver_gene_g11115",0.00340110839594963
"210","Pver_gene_g8912",0.00201949303874769
"246","Pver_gene_g4021",0.00952981500440525
"269","Pver_gene_g17239",0.00291929730747638
"274","Pver_gene_g5371",0.0354802266812569
"297","Pver_gene_g5087",0.0187148112933774
"300","Pver_gene_g5084",3.49020218106223e-05
"301","Pver_gene_g23161",8.17790994100525e-05
"307","Pver_gene_g23295",0.00246783129939953
"308","Pver_gene_g26666",0.0188354328429889
"309","Pver_gene_g23293",0.000746868736252689
"328","Pver_gene_g2531",0.0319888479795572
"340","Pver_gene_g21470",0.0309222118201318
"346","Pver_gene_g416",0.0390225751877267
"347","Pver_gene_g410",0.0260142389763687
"348","Pver_gene_g411",0.0454756900861635
"357","Pver_gene_g11092",0.00235260667942403
"360","Pver_gene_g11099",0.0248430215663563
"396","Pver_gene_g13781",0.0250200939315158
"420","Pver_gene_g7159",0.0400128837710683
"444","Pver_gene_g1412",0.03748422864145
"447","Pver_gene_g1415",0.0380416276839377
"470","Pver_gene_g26465",0.0120651464212831
"475","Pver_gene_g26469",0.0215961175240271
"479","Pver_gene_g8898",1.95985903647719e-05
"480","Pver_gene_g8896",0.000410377234951918
"481","Pver_gene_g8895",0.00566224045933776
"492","Pver_gene_g7972",0.00378087469581222
"497","Pver_gene_g24820",0.0156020602302934
"517","Pver_gene_g25886",0.00965401977668841
"523","Pver_gene_g6369",0.0296942782791501
"525","Pver_gene_g25888",0.000521209959145379
"532","Pver_gene_g19317",0.0234765089205927
"572","Pver_gene_g26149",0.0369386769670158
"579","Pver_gene_g14842",0.0222615997272592
"590","Pver_gene_g979",0.000578756547476575
"593","Pver_gene_g12194",0.0427604410071814
"596","Pver_gene_g12197",0.000965300812642434
"601","Pver_gene_g13869",0.042016879939672
"610","Pver_gene_g2477",0.0144234453537902
"619","Pver_gene_g11616",0.00347932975487541
"625","Pver_gene_g15083",0.00307814092455711
"648","Pver_gene_g11422",0.00133707451497201
"649","Pver_gene_g11429",0.0387550307142499
"659","Pver_gene_g10777",0.0180256050792646
"660","Pver_gene_g10774",0.00742988676864007
"673","Pver_gene_g14061",0.0360017268548011
"674","Pver_gene_g14068",0.0266908989207864
"704","Pver_gene_g7694",0.0132012509047899
"717","Pver_gene_g1594",0.000267045655928794
"724","Pver_gene_g7349",0.0197007509809834
"733","Pver_gene_g82",0.000159152908758022
"734","Pver_gene_g17189",0.0479064644486166
"740","Pver_gene_g12352",0.0338970779272671
"743","Pver_gene_g23036",1.43537884124248e-06
"744","Pver_gene_g23035",1.03916643057492e-05
"753","Pver_gene_g6909",0.0122920201533863
"763","Pver_gene_g5454",0.00176934978490537
"793","Pver_gene_g2102",0.0160101162706042
"801","Pver_gene_g25926",0.0369639939511191
"809","Pver_gene_g11627",0.0293228606195621
"815","Pver_gene_g11621",0.0444819996050274
"847","Pver_gene_g19293",0.0125337570115643
"881","Pver_gene_g4443",0.0093873379020233
"884","Pver_gene_g4447",0.00291373589299305
"895","Pver_gene_g23507",0.0244702506596102
"896","Pver_gene_g23506",0.0104407565421033
"903","Pver_gene_g5715",6.26600766332355e-71
"904","Pver_gene_g5714",3.65247323761383e-05
"905","Pver_gene_g5713",0.000523115814194024
"913","Pver_gene_g15273",0.0372144463401084
"939","Pver_gene_g8995",0.026426351869413
"952","Pver_gene_g6736",0.0167372520450779
"955","Pver_gene_g24506",0.0279818722140958
"989","Pver_gene_novel_gene_182_5de57afd",1.35199296936175e-06
"1000","Pver_gene_g1384",0.00537949983674602
"1003","Pver_gene_g1380",0.0292988386125976
"1007","Pver_gene_g2961",0.000223073810143121
"1009","Pver_gene_g9550",0.0350499851698229
"1019","Pver_gene_g2960",0.0104925396191062
