Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
C17_R1_001	44.2956020226	43.0	150.0	11581540.0	27.2727272727
C17_R2_001	43.9824803201	43.0	150.0	11581540.0	9.09090909091
C18_R1_001	41.1141264191	43.0	150.0	10322369.0	27.2727272727
C18_R2_001	40.9860204637	42.0	150.0	10322369.0	9.09090909091
C19_R1_001	43.258282646	42.0	150.0	11407222.0	27.2727272727
C19_R2_001	43.3811686892	42.0	150.0	11407222.0	9.09090909091
C20_R1_001	42.1054445195	43.0	150.0	10991646.0	27.2727272727
C20_R2_001	41.984145519	43.0	150.0	10991646.0	9.09090909091
C21_R1_001	37.5567077197	44.0	150.0	7581776.0	18.1818181818
C21_R2_001	37.3123229713	44.0	150.0	7581776.0	9.09090909091
C22_R1_001	43.5866986665	43.0	150.0	10661421.0	27.2727272727
C22_R2_001	43.7133409308	43.0	150.0	10661421.0	9.09090909091
C23_R1_001	42.6189512124	43.0	150.0	9669778.0	27.2727272727
C23_R2_001	42.3502710681	43.0	150.0	9669778.0	9.09090909091
C24_R1_001	42.4457841142	42.0	150.0	10109664.0	27.2727272727
C24_R2_001	42.701183641	42.0	150.0	10109664.0	9.09090909091
C25_R1_001	44.5701906574	43.0	150.0	13384360.0	27.2727272727
C25_R2_001	44.6360460617	43.0	150.0	13384360.0	9.09090909091
C26_R1_001	41.6481643613	43.0	150.0	10513807.0	27.2727272727
C26_R2_001	41.2065509792	43.0	150.0	10513807.0	9.09090909091
C27_R1_001	44.7419969576	43.0	150.0	11612160.0	27.2727272727
C27_R2_001	43.3415570958	43.0	150.0	11612160.0	9.09090909091
C28_R1_001	42.9776169046	42.0	150.0	10592999.0	27.2727272727
C28_R2_001	42.9871193419	42.0	150.0	10592999.0	9.09090909091
C29_R1_001	40.0106078443	43.0	150.0	8311723.0	27.2727272727
C29_R2_001	38.7756117049	43.0	150.0	8311723.0	9.09090909091
C30_R1_001	46.1734335067	43.0	150.0	12019128.0	18.1818181818
C30_R2_001	46.4410016069	43.0	150.0	12019128.0	9.09090909091
C31_R1_001	44.0804168542	43.0	150.0	11231196.0	27.2727272727
C31_R2_001	43.9890575085	43.0	150.0	11231196.0	9.09090909091
C32_R1_001	47.1094912026	43.0	150.0	12874230.0	27.2727272727
C32_R2_001	46.383997319	43.0	150.0	12874230.0	9.09090909091
E10_R1_001	45.4998363506	42.0	150.0	13305449.0	27.2727272727
E10_R2_001	45.5406787251	42.0	150.0	13305449.0	9.09090909091
E11_R1_001	39.2215139046	42.0	150.0	8574604.0	27.2727272727
E11_R2_001	38.7972189836	42.0	150.0	8574604.0	9.09090909091
E12_R1_001	44.4775431076	42.0	150.0	13030583.0	27.2727272727
E12_R2_001	45.1054460446	42.0	150.0	13030583.0	9.09090909091
E13_R1_001	43.0675898139	42.0	150.0	11433773.0	27.2727272727
E13_R2_001	43.3178047084	42.0	150.0	11433773.0	9.09090909091
E14_R1_001	41.6213450395	43.0	150.0	10220049.0	27.2727272727
E14_R2_001	41.8317904401	43.0	150.0	10220049.0	9.09090909091
E15_R1_001	43.4057546722	44.0	150.0	11311009.0	27.2727272727
E15_R2_001	42.8095785565	44.0	150.0	11311009.0	9.09090909091
E16_R1_001	43.6602293087	43.0	150.0	13487378.0	27.2727272727
E16_R2_001	43.9448657915	43.0	150.0	13487378.0	9.09090909091
E1_R1_001	45.7529683165	42.0	150.0	11547975.0	27.2727272727
E1_R2_001	45.6375678799	42.0	150.0	11547975.0	9.09090909091
E2_R1_001	41.5612719765	43.0	150.0	10754697.0	27.2727272727
E2_R2_001	41.9330400288	42.0	150.0	10754697.0	9.09090909091
E3_R1_001	44.5440502297	43.0	150.0	11691716.0	27.2727272727
E3_R2_001	44.9988871047	43.0	150.0	11691716.0	9.09090909091
E4_R1_001	44.0977494681	43.0	150.0	9886838.0	27.2727272727
E4_R2_001	44.1203662518	43.0	150.0	9886838.0	9.09090909091
E5_R1_001	39.9084451906	42.0	150.0	7511858.0	27.2727272727
E5_R2_001	39.8451257449	42.0	150.0	7511858.0	9.09090909091
E6_R1_001	46.5604442037	42.0	150.0	11549219.0	27.2727272727
E6_R2_001	46.6340641676	42.0	150.0	11549219.0	9.09090909091
E7_R1_001	40.8754617939	42.0	150.0	11170722.0	27.2727272727
E7_R2_001	41.0986434378	42.0	150.0	11170722.0	9.09090909091
E8_R1_001	42.2099005984	43.0	150.0	10598636.0	27.2727272727
E8_R2_001	42.2091629547	43.0	150.0	10598636.0	9.09090909091
E9_R1_001	42.8488612384	43.0	150.0	11268722.0	27.2727272727
E9_R2_001	42.8858250272	43.0	150.0	11268722.0	9.09090909091
