"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"39","GO:0005789",0.0298868068260177,0.988969007470452,8,440,"endoplasmic reticulum membrane","CC"
"43","GO:0005938",0.00156759027270036,0.999696012686494,7,195,"cell cortex","CC"
"38","GO:0005680",0.0111331165716247,0.999472787798747,2,19,"anaphase-promoting complex","CC"
"41","GO:0005892",0.0229195224087198,0.998376094739126,2,26,"acetylcholine-gated channel complex","CC"
"105","GO:0019005",0.0482650646303643,0.994775958810282,2,42,"SCF ubiquitin ligase complex","CC"
"162","GO:0034362",5.57709498992086e-05,1,2,2,"low-density lipoprotein particle","CC"
"258","GO:0098691",0.000875420769426579,0.999991750424371,2,5,"dopaminergic synapse","CC"
"263","GO:0098981",0.0164055230544259,0.999040194903775,2,21,"cholinergic synapse","CC"
"264","GO:0099060",0.0373957473451336,0.996511239084596,2,33,"integral component of postsynaptic specialization membrane","CC"
"2","GO:0000808",0.0378955689555115,0.999455330973029,1,4,"origin recognition complex","CC"
"6","GO:0001535",0.0195672117642279,0.999903785861075,1,2,"radial spoke head","CC"
"36","GO:0005602",0.00852221582144031,1,1,1,"complement component C1 complex","CC"
"37","GO:0005640",0.0344676615566944,0.999550075365456,1,4,"nuclear outer membrane","CC"
"40","GO:0005859",0.0479055913608131,0.999002680396078,1,7,"muscle myosin complex","CC"
"42","GO:0005899",0.00989191224986444,1,1,1,"insulin receptor complex","CC"
"135","GO:0030427",0.0162521564314761,0.999933737184611,1,2,"site of polarized growth","CC"
"154","GO:0032982",0.0293845037638761,0.999709720874783,1,3,"myosin filament","CC"
"159","GO:0033557",0.0155566969080404,0.999939308326292,1,2,"Slx1-Slx4 complex","CC"
"164","GO:0034455",0.019682263068846,0.999902645384027,1,2,"t-UTP complex","CC"
"182","GO:0045495",0.0480134391750351,0.999025590387415,1,6,"pole plasm","CC"
"192","GO:0048269",0.0364477375514469,0.999496468563116,1,4,"methionine adenosyltransferase complex","CC"
"218","GO:0060417",0.0196864286750615,0.999902603964017,1,2,"yolk","CC"
"257","GO:0098674",0.0293845037638766,0.999709720874783,1,3,"extrinsic component of neuronal dense core vesicle membrane","CC"
"262","GO:0098892",0.0434684683385392,0.999234308002759,1,5,"extrinsic component of postsynaptic specialization membrane","CC"
"296","GO:1990467",0.0247558250625274,0.999794402274731,1,3,"NuA3a histone acetyltransferase complex","CC"
"297","GO:1990468",0.00949503201171554,1,1,1,"NuA3b histone acetyltransferase complex","CC"
"300","GO:1990811",0.00987305292266575,1,1,1,"MWP complex","CC"
