GO_id,term,GOSlim_bin
GO:0000001,P,cell organization and biogenesis
GO:0000002,P,cell organization and biogenesis
GO:0000003,P,other biological processes
GO:0000006,F,transporter activity
GO:0000007,F,transporter activity
GO:0000009,F,other molecular function
GO:0000010,F,other molecular function
GO:0000011,P,cell organization and biogenesis
GO:0000012,P,stress response
GO:0000012,P,DNA metabolism
GO:0000014,F,other molecular function
GO:0000015,C,cytosol
GO:0000016,F,other molecular function
GO:0000017,P,transport
GO:0000018,P,DNA metabolism
GO:0000019,P,DNA metabolism
GO:0000022,P,cell cycle and proliferation
GO:0000022,P,cell organization and biogenesis
GO:0000023,P,other metabolic processes
GO:0000024,P,other metabolic processes
GO:0000025,P,other metabolic processes
GO:0000026,F,other molecular function
GO:0000027,P,cell organization and biogenesis
GO:0000028,P,cell organization and biogenesis
GO:0000030,F,other molecular function
GO:0000031,F,other molecular function
GO:0000032,P,protein metabolism
GO:0000033,F,other molecular function
GO:0000034,F,other molecular function
GO:0000035,F,other molecular function
GO:0000036,F,other molecular function
GO:0000038,P,other metabolic processes
GO:0000040,P,transport
GO:0000041,P,transport
GO:0000042,P,transport
GO:0000045,P,stress response
GO:0000045,P,other metabolic processes
GO:0000045,P,cell organization and biogenesis
GO:0000046,P,stress response
GO:0000046,P,other metabolic processes
GO:0000046,P,cell organization and biogenesis
GO:0000048,F,other molecular function
GO:0000049,F,nucleic acid binding activity
GO:0000050,P,other metabolic processes
GO:0000052,P,other metabolic processes
GO:0000053,P,other metabolic processes
GO:0000054,P,transport
GO:0000055,P,transport
GO:0000056,P,transport
GO:0000059,P,transport
GO:0000059,P,cell organization and biogenesis
GO:0000060,P,transport
GO:0000061,P,transport
GO:0000061,P,cell organization and biogenesis
GO:0000062,F,other molecular function
GO:0000064,F,transporter activity
GO:0000066,P,transport
GO:0000070,P,cell cycle and proliferation
GO:0000070,P,cell organization and biogenesis
GO:0000072,P,cell cycle and proliferation
GO:0000073,P,cell cycle and proliferation
GO:0000073,P,cell organization and biogenesis
GO:0000075,P,cell cycle and proliferation
GO:0000076,P,cell cycle and proliferation
GO:0000077,P,cell cycle and proliferation
GO:0000077,P,stress response
GO:0000078,P,cell cycle and proliferation
GO:0000079,P,cell cycle and proliferation
GO:0000079,P,protein metabolism
GO:0000080,P,cell cycle and proliferation
GO:0000082,P,cell cycle and proliferation
GO:0000083,P,cell cycle and proliferation
GO:0000083,P,RNA metabolism
GO:0000084,P,cell cycle and proliferation
GO:0000085,P,cell cycle and proliferation
GO:0000086,P,cell cycle and proliferation
GO:0000087,P,cell cycle and proliferation
GO:0000088,P,cell cycle and proliferation
GO:0000088,P,cell organization and biogenesis
GO:0000089,P,cell cycle and proliferation
GO:0000089,P,cell organization and biogenesis
GO:0000090,P,cell cycle and proliferation
GO:0000090,P,cell organization and biogenesis
GO:0000091,P,cell cycle and proliferation
GO:0000091,P,cell organization and biogenesis
GO:0000092,P,cell cycle and proliferation
GO:0000092,P,cell organization and biogenesis
GO:0000093,P,cell cycle and proliferation
GO:0000093,P,cell organization and biogenesis
GO:0000095,F,transporter activity
GO:0000096,P,other metabolic processes
