slim_term,slim_cat,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,genes
catalytic activity,GO:0003824,GO:0003851,0.028240217,0.99979831,1,2,2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity,MF,0.029802036,"Pver_gene_g4736, Pver_gene_g19597"
transferase activity,GO:0016740,GO:0008260,0.01043179,1,1,1,3-oxoacid CoA-transferase activity,MF,Pver_gene_g26373,
catalytic activity,GO:0003824,GO:0003860,0.018621356,0.999912735,1,2,3-hydroxyisobutyryl-CoA hydrolase activity,MF,0.02186696,"Pver_gene_g16235, Pver_gene_g17803, Pver_gene_g16235"
catalytic activity,GO:0003824,GO:0035312,0.045303574,0.999303611,1,3,5'-3' DNA exonuclease activity,MF,0.045745088,"Pver_gene_g25887, Pver_gene_g23023, Pver_gene_g17283"
immune system process,GO:0002376,GO:0002218,0.046432159,0.995152611,2,28,activation of innate immune response,BP,0.046586728,"Pver_gene_g527, Pver_gene_g3177, Pver_gene_g3383, Pver_gene_g8298, Pver_gene_g9001, Pver_gene_g9519, Pver_gene_g9712, Pver_gene_g12004, Pver_gene_g13314, Pver_gene_g13454, Pver_gene_g16234, Pver_gene_g22745, Pver_gene_g22746, Pver_gene_g22747, Pver_gene_g26349, Pver_gene_g2995, Pver_gene_g17494, Pver_gene_g19005, Pver_gene_g19006, Pver_gene_g19008, Pver_gene_g22503, Pver_gene_g22745, Pver_gene_g22746, Pver_gene_g22747, Pver_gene_g22748, Pver_gene_g22749, Pver_gene_g22750, Pver_gene_g24446, Pver_gene_g16637, Pver_gene_g17494, Pver_gene_g22342, Pver_gene_g22503, Pver_gene_g22590, Pver_gene_g24446"
transporter activity,GO:0005215,GO:0046715,0.000293226,0.999999979,1,2,active borate transmembrane transporter activity,MF,0.000637745,"Pver_gene_g8191, Pver_gene_g18286"
cellular nitrogen compound,GO:0034641,GO:0043604,0.009832424,0.999967722,1,3,amide biosynthetic process,BP,0.01207738,"Pver_gene_g4448, Pver_gene_g4449, Pver_gene_g10734"
cellular component organization,GO:0005575,GO:0005642,0.042036463,0.999253449,1,6,annulate lamellae,CC,0.042762968,"Pver_gene_g7469, Pver_gene_g8318, Pver_gene_g8636, Pver_gene_g8968, Pver_gene_g11360, Pver_gene_g13400"
catalytic activity,GO:0003824,GO:0004190,0.000620815,0.999898672,7,94,aspartic-type endopeptidase activity,MF,0.001334906,"Pver_gene_g4436, Pver_gene_g4888, Pver_gene_g8375, Pver_gene_g9313, Pver_gene_g9897, Pver_gene_g9930, Pver_gene_g10046, Pver_gene_g10528, Pver_gene_g11011, Pver_gene_g11362, Pver_gene_g14630, Pver_gene_g15266, Pver_gene_g20182, Pver_gene_g21623, Pver_gene_g23269, Pver_gene_g24925, Pver_gene_g1150, Pver_gene_g2103, Pver_gene_g3222, Pver_gene_g4203, Pver_gene_g4297, Pver_gene_g5467, Pver_gene_g6836, Pver_gene_g8242, Pver_gene_g8364, Pver_gene_g8366, Pver_gene_g8367, Pver_gene_g8375, Pver_gene_g11011, Pver_gene_g11823, Pver_gene_g13428, Pver_gene_g13767, Pver_gene_g14523, Pver_gene_g14868, Pver_gene_g15266, Pver_gene_g16429, Pver_gene_g16652, Pver_gene_g18218, Pver_gene_g18441, Pver_gene_g18653, Pver_gene_g18776, Pver_gene_g19453, Pver_gene_g19868, Pver_gene_g20168, Pver_gene_g20325, Pver_gene_g20631, Pver_gene_g21000, Pver_gene_g22558, Pver_gene_g23781, Pver_gene_g24189, Pver_gene_g24511, Pver_gene_g24925, Pver_gene_g25249, Pver_gene_g3013, Pver_gene_g9986, Pver_gene_g10267, Pver_gene_g14354, Pver_gene_g15131, Pver_gene_g17717, Pver_gene_g18660, Pver_gene_g20546, Pver_gene_g20695, Pver_gene_g21751, Pver_gene_g22362, Pver_gene_g22434, Pver_gene_g22608, Pver_gene_g24925, Pver_gene_g25878, Pver_gene_g1901, Pver_gene_g2239, Pver_gene_g3010, Pver_gene_g4285, Pver_gene_g4863, Pver_gene_g8762, Pver_gene_g9401, Pver_gene_g9986, Pver_gene_g13724, Pver_gene_g14099, Pver_gene_g15159, Pver_gene_g17046, Pver_gene_g17518, Pver_gene_g17599, Pver_gene_g17717, Pver_gene_g19042, Pver_gene_g19233, Pver_gene_g19453, Pver_gene_g19465, Pver_gene_g19868, Pver_gene_g20369, Pver_gene_g21293, Pver_gene_g21546, Pver_gene_g21687, Pver_gene_g22217, Pver_gene_g22223, Pver_gene_g22359, Pver_gene_g22540, Pver_gene_g22542, Pver_gene_g22558, Pver_gene_g22722, Pver_gene_g23796, Pver_gene_g23987, Pver_gene_g24422, Pver_gene_g24574, Pver_gene_g25059"
anatomical structure development,GO:0048856,GO:0048677,1.33E-08,1,1,1,axon extension involved in regeneration,BP,3.15E-08,Pver_gene_g9125
transporter activity,GO:0005215,GO:0015106,0.000293226,0.999999979,1,2,bicarbonate transmembrane transporter activity,MF,0.000637745,"Pver_gene_g8191, Pver_gene_g18286"
transport,GO:0006810,GO:0015701,0.025098075,0.999735668,1,6,bicarbonate transport,BP,0.026599451,"Pver_gene_g8190, Pver_gene_g8191, Pver_gene_g11488, Pver_gene_g11773, Pver_gene_g11889, Pver_gene_g18286"
