gene_id,C17_R1_001.fastq.gz.sam.sorted.bam.gtf
Pver_gene_g289,1244
Pver_gene_g288,1196
Pver_gene_g21188,0
Pver_gene_g285,1492
Pver_gene_g284,1783
Pver_gene_g287,3886
Pver_gene_g286,2787
Pver_gene_g281,2611
Pver_gene_g280,761
Pver_gene_g283,1498
Pver_gene_g282,1665
STRG.8660,39
STRG.15044,0
STRG.15045,77
STRG.8668,0
Pver_gene_g11072,438
Pver_gene_g21180,536
STRG.2438,1388
Pver_gene_g11070,0
Pver_gene_g137,1259
Pver_gene_g136,713
Pver_gene_g135,138
Pver_gene_g134,1382
Pver_gene_g133,1037
Pver_gene_g132,3203
Pver_gene_g131,2805
Pver_gene_g130,860
Pver_gene_g11076,1130
Pver_gene_g139,14268
Pver_gene_g138,2691
Pver_gene_g21187,0
Pver_gene_g11075,335
STRG.12069,372
Pver_gene_novel_gene_418_5de57afd,169
Pver_gene_novel_gene_39_5de57afd,402
Pver_gene_novel_gene_203_5de57afd,22
Pver_gene_novel_gene_130_5de57afd,4
Pver_gene_g3376,1303
Pver_gene_g3375,15206
Pver_gene_g3374,497
Pver_gene_g3373,2348
Pver_gene_g3372,291
Pver_gene_g3371,22
Pver_gene_g3370,2236
STRG.18280,3
Pver_gene_g3379,794
Pver_gene_g3378,1502
Pver_gene_g7874,495
Pver_gene_g7875,612
Pver_gene_g7876,799
Pver_gene_g7877,414
Pver_gene_g7870,846
Pver_gene_g7871,140
Pver_gene_g7872,120
Pver_gene_g7873,309
STRG.16769,0
Pver_gene_g7878,247
Pver_gene_g7879,5470
Pver_gene_g6473,878
Pver_gene_g6472,11
Pver_gene_g6471,274
Pver_gene_g6470,9
Pver_gene_g6477,10828
Pver_gene_g6476,2903
Pver_gene_g6475,6534
Pver_gene_g6474,2031
Pver_gene_g6479,669
Pver_gene_g6478,12
Pver_gene_g8493,39
Pver_gene_g25395,0
Pver_gene_g8491,1172
Pver_gene_g25397,0
Pver_gene_g8497,41
Pver_gene_g25391,0
Pver_gene_g8495,1461
Pver_gene_g25393,0
STRG.6849,3
Pver_gene_g8499,28
Pver_gene_g8498,11
Pver_gene_g25398,5
Pver_gene_g25399,0
STRG.15862,34
STRG.15863,23
Pver_gene_g24669,19
STRG.4996,92
STRG.4999,1
Pver_gene_g24666,0
Pver_gene_g24665,0
Pver_gene_g24664,0
Pver_gene_g24663,0
Pver_gene_g24662,100
Pver_gene_g24661,0
Pver_gene_g24660,0
STRG.254,68
Pver_gene_g22625,284
Pver_gene_g22624,0
Pver_gene_g22627,182
Pver_gene_g22626,0
Pver_gene_g22621,0
Pver_gene_g8728,489
Pver_gene_g22623,0
Pver_gene_g22622,0
Pver_gene_g8725,7706
Pver_gene_g8724,78075
Pver_gene_g8727,3354
Pver_gene_g8726,17994
Pver_gene_g22629,44
Pver_gene_g8720,303
Pver_gene_g8723,483
Pver_gene_g8722,0
Pver_novel_model_766_5de57afd,0
Pver_gene_g1849,78
Pver_gene_g1848,41
Pver_gene_g1843,435
Pver_gene_g1842,158
Pver_gene_g1841,15
Pver_gene_g1840,0
Pver_gene_g1847,21
Pver_gene_g1846,0
Pver_gene_g1845,0
Pver_gene_g1844,1483
Pver_gene_novel_gene_522_5de57afd,109
Pver_gene_g25530,0
Pver_gene_g25531,0
Pver_gene_g25532,0
Pver_gene_g25533,0
Pver_gene_g25534,0
Pver_gene_g25535,5
Pver_gene_g25536,0
Pver_gene_g25537,0
Pver_gene_g25538,0
Pver_gene_g25539,0
STRG.7086,1
STRG.7087,0
Pver_gene_g1269,450
Pver_gene_g1268,7239
Pver_gene_g1267,40984
Pver_gene_g1266,69
Pver_gene_g1265,4230
Pver_gene_g1264,4122
Pver_gene_g1263,356
Pver_gene_g1262,0
Pver_gene_g1261,8614
Pver_gene_g1260,436
Pver_gene_g9458,0
Pver_gene_g9459,4
Pver_gene_g9454,5
Pver_gene_g9455,148
Pver_gene_g9456,98
Pver_gene_g9457,0
Pver_gene_g9450,4405
Pver_gene_g9451,0
Pver_gene_g9452,1081
Pver_gene_g9453,0
STRG.14051,2
Pver_gene_g4614,1721
Pver_gene_g17276,15
Pver_gene_g4617,30
Pver_gene_g21944,0
Pver_gene_g17274,532
Pver_gene_g4721,51
Pver_gene_g4720,12
Pver_gene_g4723,4557
Pver_gene_g4722,938
Pver_gene_g4725,41
Pver_gene_g4724,85
Pver_gene_g4727,228
Pver_gene_g4726,496
Pver_gene_g4729,144
Pver_gene_g4728,8986
Pver_gene_g21940,6
Pver_gene_g21943,0
Pver_gene_g17271,0
Pver_gene_novel_gene_696_5de57afd,4
Pver_gene_g2769,813
Pver_gene_g2768,464
Pver_gene_g2763,0
Pver_gene_g2762,469
Pver_gene_g2761,3
Pver_gene_g2760,35
Pver_gene_g2767,2845
Pver_gene_g2766,7028
Pver_gene_g2765,210
Pver_gene_g2764,0
Pver_gene_g10302,1216
Pver_gene_g18981,0
Pver_gene_g18980,71
Pver_gene_g18983,0
Pver_gene_g18982,0
Pver_gene_g18985,13
Pver_gene_g18984,0
Pver_gene_g18987,58
Pver_gene_g18986,813
Pver_gene_g18989,0
Pver_gene_g18988,0
STRG.6062,53
Pver_gene_g20577,0
Pver_gene_g20576,0
Pver_gene_g20575,0
Pver_gene_g20574,0
Pver_gene_g20573,41
Pver_gene_g20572,0
Pver_gene_g20571,18
Pver_gene_g20570,130
Pver_gene_g20579,0
Pver_gene_g20578,52
Pver_gene_g2189,0
Pver_gene_g2188,0
Pver_gene_g2187,0
Pver_gene_g2186,0
Pver_gene_g2185,0
Pver_gene_g2184,1375
Pver_gene_g2183,759
Pver_gene_g2182,1286
Pver_gene_g2181,1793
Pver_gene_g2180,34
Pver_gene_g21628,0
Pver_gene_g21629,4
Pver_gene_g21620,0
Pver_gene_g21621,0
Pver_gene_g21622,0
Pver_gene_g21623,0
Pver_gene_g21624,10
Pver_gene_g21625,4
Pver_gene_g21626,0
Pver_gene_g21627,22
Pver_gene_g86,34199
Pver_gene_g87,565
Pver_gene_g84,4609
Pver_gene_g85,232
